combined_name,group_id,artifact_id,cve_id,severity,start_version,end_version,patched_version,latest_version,start_version_timestamp,end_version_timestamp,patched_version_timestamp,cve_publish_date,cve_patched,cve_duration,api_id,api_aliases
ai.h2o:h2o-core,ai.h2o,h2o-core,CVE-2024-6960,HIGH,0.1.3,3.46.0.4,,3.46.0.4,1406865376000,1720558447000,,2024-07-21T12:30:48Z,False,9106199972,GHSA-w36w-948j-xhfw,CVE-2024-6960
ai.h2o:h2o-core,ai.h2o,h2o-core,CVE-2023-6038,CRITICAL,0.1.3,3.40.0.4,3.42.0.1,3.46.0.4,1406865376000,1682686607000,1687286790000,2023-11-16T18:30:31Z,True,-12872641000,GHSA-6mv8-95x5-xcq9,CVE-2023-6038
ai.djl:api,ai.djl,api,CGA-mcv5-fjr6-wxgg,CRITICAL,0.2.0,0.27.0,0.28.0,0.29.0,1574887177000,1711652559000,1715807431000,2024-06-17T21:20:44Z,True,-2851813000,GHSA-w877-jfw7-46rj,"CGA-mcv5-fjr6-wxgg, CVE-2024-37902"
be.cylab:snakeyaml,be.cylab,snakeyaml,CVE-2022-38749,MODERATE,1.25.1,1.25.1,,1.25.1,1566907690000,1566907690000,,2022-09-06T00:00:27Z,False,68248821964,GHSA-c4r9-r8fh-9vj2,CVE-2022-38749
axis:axis,axis,axis,CVE-2012-5784,MODERATE,1.1-beta,1.4,,1.4,1122888382000,1145766732000,,2020-10-07T17:51:02Z,False,128578190773,GHSA-55w9-c3g2-4rrh,CVE-2012-5784
axis:axis,axis,axis,CVE-2019-0227,HIGH,1.1-beta,1.4,,1.4,1122888382000,1145766732000,,2019-05-14T04:02:24Z,False,172864708773,GHSA-h9gj-rqrw-x4fq,CVE-2019-0227
axis:axis,axis,axis,CVE-2018-8032,MODERATE,1.1-beta,1.4,,1.4,1122888382000,1145766732000,,2018-10-16T20:51:15Z,False,190948177773,GHSA-96jq-75wh-2658,CVE-2018-8032
axis:axis,axis,axis,CVE-2014-3596,MODERATE,1.1-beta,1.4,,1.4,1122888382000,1145766732000,,2018-10-16T20:50:58Z,False,190948194774,GHSA-r53v-vm87-f72c,CVE-2014-3596
axis:axis,axis,axis,CVE-2023-51441,HIGH,1.1-beta,1.3,1.4,1.4,1122888382000,1132682853000,1145766732000,2024-01-06T12:30:34Z,True,-558777502000,GHSA-hr2c-p8rh-238h,CVE-2023-51441
axis:axis,axis,axis,CVE-2023-40743,CRITICAL,1.1-beta,1.4,,1.4,1122888382000,1145766732000,,2023-09-05T15:30:25Z,False,36743427774,GHSA-rmqp-9w4c-gc7w,CVE-2023-40743
ca.uhn.hapi.fhir:org.hl7.fhir.validation,ca.uhn.hapi.fhir,org.hl7.fhir.validation,CVE-2023-28465,HIGH,4.0.0,5.6.105,5.6.881,6.3.23,1565779833000,1678366626000,1675290852000,2023-03-10T22:15:55Z,True,-3195703000,GHSA-9654-pr4f-gh6m,CVE-2023-28465
ca.uhn.hapi.fhir:org.hl7.fhir.validation,ca.uhn.hapi.fhir,org.hl7.fhir.validation,CVE-2023-24057,CRITICAL,4.0.0,5.6.91,5.6.92,6.3.23,1565779833000,1673992562000,1674256260000,2023-01-23T22:05:28Z,True,-255268000,GHSA-jqh6-9574-5x22,"CVE-2023-24057, GHSA-xr8x-pxm6-prjg"
