combined_name,group_id,artifact_id,cve_id,severity,start_version,end_version,patched_version,latest_version,start_version_timestamp,end_version_timestamp,patched_version_timestamp,cve_publish_date,cve_patched,cve_duration,api_id,api_aliases,github_url,github_api_url,github_owner,github_repo
ai.h2o:h2o-core,ai.h2o,h2o-core,CVE-2024-6960,HIGH,0.1.3,3.46.0.4,,3.46.0.4,1406865376000,1720558447000,,2024-07-21T12:30:48Z,False,9106199972,GHSA-w36w-948j-xhfw,CVE-2024-6960,https://github.com/0xdata/h2o,https://api.github.com/repos/0xdata/h2o,0xdata,h2o
ai.h2o:h2o-core,ai.h2o,h2o-core,CVE-2023-6038,CRITICAL,0.1.3,3.40.0.4,3.42.0.1,3.46.0.4,1406865376000,1682686607000,1687286790000,2023-11-16T18:30:31Z,True,-12872641000,GHSA-6mv8-95x5-xcq9,CVE-2023-6038,https://github.com/0xdata/h2o,https://api.github.com/repos/0xdata/h2o,0xdata,h2o
ai.djl:api,ai.djl,api,CGA-mcv5-fjr6-wxgg,CRITICAL,0.2.0,0.27.0,0.28.0,0.29.0,1574887177000,1711652559000,1715807431000,2024-06-17T21:20:44Z,True,-2851813000,GHSA-w877-jfw7-46rj,"CGA-mcv5-fjr6-wxgg, CVE-2024-37902",https://github.com/awslabs/djl,https://api.github.com/repos/awslabs/djl,awslabs,djl
co.elastic.apm:apm-agent-parent,co.elastic.apm,apm-agent-parent,CVE-2021-37942,HIGH,1.18.0,1.26.2,1.27.1,1.51.0,1599552121000,1640882246000,1638284621000,2023-11-22T03:30:19Z,True,-62339198000,GHSA-5xqm-hc45-f2g2,CVE-2021-37942,https://github.com/elastic/apm-agent-java,https://api.github.com/repos/elastic/apm-agent-java,elastic,apm-agent-java
cn.hutool:hutool-parent,cn.hutool,hutool-parent,CVE-2018-17297,HIGH,4.0.0,4.1.11,4.1.12,5.8.31,1515773663000,1536798527000,1536885157000,2018-10-17T19:54:53Z,True,-2920936000,GHSA-rhq2-2574-78mc,CVE-2018-17297,git@github.com:looly/hutool.git,,,
com.amazon.redshift:redshift-jdbc42,com.amazon.redshift,redshift-jdbc42,CVE-2022-41828,HIGH,2.0.0.3,2.1.0.7,2.1.0.8,2.1.0.30,1615242212000,1651713718000,1654740426000,2022-10-12T18:23:36Z,True,-10858590000,GHSA-jc69-hjw2-fm86,CVE-2022-41828,https://github.com/aws/amazon-redshift-jdbc-driver,https://api.github.com/repos/aws/amazon-redshift-jdbc-driver,aws,amazon-redshift-jdbc-driver
com.amazon.redshift:redshift-jdbc42,com.amazon.redshift,redshift-jdbc42,BIT-postgresql-jdbc-driver-2024-1597,CRITICAL,2.0.0.3,2.1.0.27,2.1.0.28,2.1.0.30,1615242212000,1715117453000,1715727442000,2024-05-15T17:10:49Z,True,-65607000,GHSA-x3wm-hffr-chwm,"BIT-postgresql-jdbc-driver-2024-1597, CGA-5cmg-w6mr-wx73, CGA-pp92-9wg6-xwgx, CVE-2024-1597, CVE-2024-32888, GHSA-24rp-q3w6-vc56, GHSA-xfg6-62px-cxc2",https://github.com/aws/amazon-redshift-jdbc-driver,https://api.github.com/repos/aws/amazon-redshift-jdbc-driver,aws,amazon-redshift-jdbc-driver
cn.hippo4j:hippo4j-all,cn.hippo4j,hippo4j-all,CVE-2023-27094,HIGH,0.0.1,1.4.3,1.4.3-upgrade,1.5.0,1637027142000,1667723328000,1667909201000,2023-03-23T18:30:18Z,True,-11687017000,GHSA-fvx4-8h2x-gm9q,CVE-2023-27094,git@github.com:acmenlt/dynamic-threadpool.git,,,
com.adobe.acs:acs-aem-commons,com.adobe.acs,acs-aem-commons,CVE-2021-21028,MODERATE,4.6.0,4.9.2,4.10.0,6.6.4,1588346130000,1605038663000,1605805080000,2021-05-13T22:31:14Z,True,-15139994000,GHSA-7r83-w6r8-fh6w,"CVE-2021-21028, CVE-2021-21043, GHSA-f92j-qf46-p6vm",https://github.com/Adobe-Consulting-Services/acs-aem-commons/tree/master,https://api.github.com/repos/Adobe-Consulting-Services/acs-aem-commons,Adobe-Consulting-Services,acs-aem-commons
cn.hippo4j:hippo4j-all,cn.hippo4j,hippo4j-all,CVE-2023-27096,MODERATE,0.0.1,1.4.3,1.4.3-upgrade,1.5.0,1637027142000,1667723328000,1667909201000,2023-03-27T15:30:17Z,True,-12021816000,GHSA-h855-6hph-v363,CVE-2023-27096,git@github.com:acmenlt/dynamic-threadpool.git,,,
