Artifact,CVE_ID,Severity,Start Version,End Version,Start,End,Duration
ai.h2o:h2o-core,CVE-2024-6960,HIGH,0.1.3,3.46.0.4,2014-07-31 20:56:16,2024-07-09 13:54:07,"3630 days, 16:57:51"
ai.h2o:h2o-core,CVE-2023-6038,CRITICAL,0.1.3,3.40.0.4,2014-07-31 20:56:16,2023-04-28 05:56:47,"3192 days, 9:00:31"
ai.djl:api,CGA-mcv5-fjr6-wxgg,CRITICAL,0.2.0,0.27.0,2019-11-27 12:39:37,2024-03-28 12:02:39,"1582 days, 23:23:02"
be.cylab:snakeyaml,CVE-2022-38749,MODERATE,1.25.1,1.25.1,2019-08-27 05:08:10,2019-08-27 05:08:10,0:00:00
axis:axis,CVE-2012-5784,MODERATE,1.1-beta,1.4,2005-08-01 02:26:22,2006-04-22 21:32:12,"264 days, 19:05:50"
axis:axis,CVE-2014-3596,MODERATE,1.1-beta,1.4,2005-08-01 02:26:22,2006-04-22 21:32:12,"264 days, 19:05:50"
axis:axis,CVE-2018-8032,MODERATE,1.1-beta,1.4,2005-08-01 02:26:22,2006-04-22 21:32:12,"264 days, 19:05:50"
axis:axis,CVE-2023-40743,CRITICAL,1.1-beta,1.4,2005-08-01 02:26:22,2006-04-22 21:32:12,"264 days, 19:05:50"
axis:axis,CVE-2019-0227,HIGH,1.1-beta,1.4,2005-08-01 02:26:22,2006-04-22 21:32:12,"264 days, 19:05:50"
axis:axis,CVE-2023-51441,HIGH,1.1-beta,1.3,2005-08-01 02:26:22,2005-11-22 10:07:33,"113 days, 7:41:11"
ca.uhn.hapi.fhir:org.hl7.fhir.validation,CVE-2023-24057,CRITICAL,4.0.0,5.6.91,2019-08-14 03:50:33,2023-01-17 13:56:02,"1252 days, 10:05:29"
ca.uhn.hapi.fhir:org.hl7.fhir.validation,CVE-2023-28465,HIGH,4.0.0,5.6.105,2019-08-14 03:50:33,2023-03-09 04:57:06,"1303 days, 1:06:33"
ca.uhn.hapi.fhir:org.hl7.fhir.r5,CVE-2024-45294,HIGH,4.0.0,6.3.22,2019-08-14 03:46:57,2024-08-27 13:51:11,"1840 days, 10:04:14"
ca.uhn.hapi.fhir:org.hl7.fhir.r5,CVE-2023-24057,CRITICAL,4.0.0,5.6.91,2019-08-14 03:46:57,2023-01-17 13:56:11,"1252 days, 10:09:14"
ca.uhn.hapi.fhir:org.hl7.fhir.r5,CVE-2023-28465,HIGH,4.0.0,5.6.105,2019-08-14 03:46:57,2023-03-09 04:57:30,"1303 days, 1:10:33"
ca.juliusdavies:not-yet-commons-ssl,CVE-2014-3604,MODERATE,0.3.11,0.3.9,2009-10-23 11:32:39,2011-03-15 08:39:11,"507 days, 21:06:32"
ca.uhn.hapi.fhir:org.hl7.fhir.dstu2016may,CVE-2024-45294,HIGH,4.0.0,6.3.22,2019-08-14 03:13:42,2024-08-27 13:51:27,"1840 days, 10:37:45"
ca.uhn.hapi.fhir:org.hl7.fhir.r4b,CVE-2024-45294,HIGH,5.6.22,6.3.22,2022-01-10 16:04:19,2024-08-27 13:51:29,"959 days, 21:47:10"
ca.uhn.hapi.fhir:org.hl7.fhir.r4b,CVE-2023-24057,CRITICAL,5.6.22,5.6.91,2022-01-10 16:04:19,2023-01-17 13:56:01,"371 days, 21:51:42"
ca.uhn.hapi.fhir:org.hl7.fhir.r4b,CVE-2023-28465,HIGH,5.6.22,5.6.105,2022-01-10 16:04:19,2023-03-09 04:57:35,"422 days, 12:53:16"
cc.plural:jsonij,CVE-2023-34614,HIGH,0.2.3.6,0.5.2,2011-03-03 23:36:41,2019-01-05 01:38:31,"2864 days, 2:01:50"
ca.uhn.hapi.fhir:org.hl7.fhir.convertors,CVE-2023-24057,CRITICAL,4.0.0,5.6.91,2019-08-14 03:50:10,2023-01-17 13:55:57,"1252 days, 10:05:47"
ca.uhn.hapi.fhir:org.hl7.fhir.convertors,CVE-2023-28465,HIGH,4.0.0,5.6.105,2019-08-14 03:50:10,2023-03-09 04:57:46,"1303 days, 1:07:36"
ca.uhn.hapi.fhir:hapi-fhir-base,CVE-2019-12741,MODERATE,0.1,3.7.0,2014-04-17 04:56:05,2019-02-05 18:19:41,"1755 days, 13:23:36"
ca.uhn.hapi.fhir:org.hl7.fhir.utilities,CVE-2024-45294,HIGH,4.0.0,6.3.22,2019-08-14 02:56:01,2024-08-27 13:51:09,"1840 days, 10:55:08"
ca.uhn.hapi.fhir:org.hl7.fhir.utilities,CVE-2023-24057,CRITICAL,4.0.0,5.6.91,2019-08-14 02:56:01,2023-01-17 13:56:05,"1252 days, 11:00:04"
ca.uhn.hapi.fhir:org.hl7.fhir.utilities,CVE-2023-28465,HIGH,4.0.0,5.6.105,2019-08-14 02:56:01,2023-03-09 04:57:45,"1303 days, 2:01:44"
ca.uhn.hapi.fhir:hapi-fhir-jpaserver-base,CVE-2021-32053,MODERATE,0.9,5.3.3,2015-03-14 13:19:29,2021-04-26 11:29:26,"2234 days, 22:09:57"
ch.qos.logback:logback-classic,CVE-2017-5929,CRITICAL,0.2.5,1.1.11,2006-08-23 09:43:48,2017-03-01 11:37:04,"3843 days, 1:53:16"
ch.qos.logback:logback-classic,CVE-2023-6378,HIGH,0.2.5,1.3.11,2006-08-23 09:43:48,2023-08-09 12:34:03,"6195 days, 2:50:15"
ca.uhn.hapi.fhir:org.hl7.fhir.core,CVE-2023-24057,CRITICAL,4.0.0,5.6.91,2019-08-14 02:52:34,2023-01-17 13:55:47,"1252 days, 11:03:13"
ca.uhn.hapi.fhir:org.hl7.fhir.core,CVE-2023-28465,HIGH,4.0.0,5.6.105,2019-08-14 02:52:34,2023-03-09 04:57:14,"1303 days, 2:04:40"
ca.uhn.hapi.fhir:org.hl7.fhir.dstu3,CVE-2024-45294,HIGH,4.0.0,6.3.22,2019-08-14 03:24:25,2024-08-27 13:51:28,"1840 days, 10:27:03"
cn.dev33:sa-token-core,CVE-2023-44794,CRITICAL,1.6.0,1.36.0,2020-12-21 07:37:16,2023-09-21 12:05:11,"1004 days, 4:27:55"
cn.dev33:sa-token-core,CVE-2023-43961,HIGH,1.6.0,1.35.0.RC,2020-12-21 07:37:16,2023-06-23 01:42:46,"913 days, 18:05:30"
ch.qos.logback:logback-core,CVE-2017-5929,CRITICAL,0.2.5,1.1.11,2006-08-23 09:42:14,2017-03-01 11:36:04,"3843 days, 1:53:50"
ch.qos.logback:logback-core,CVE-2023-6378,HIGH,0.2.5,1.3.11,2006-08-23 09:42:14,2023-08-09 12:33:33,"6195 days, 2:51:19"
ch.qos.logback:logback-core,CVE-2021-42550,MODERATE,0.2.5,1.2.8,2006-08-23 09:42:14,2021-12-14 03:56:06,"5591 days, 18:13:52"
ch.qos.logback:logback-core,CVE-2023-6481,HIGH,1.2.12,1.4.13,2023-03-23 14:20:11,2023-11-28 06:41:44,"249 days, 16:21:33"
ca.uhn.hapi.fhir:org.hl7.fhir.r4,CVE-2024-45294,HIGH,4.0.0,6.3.22,2019-08-14 03:33:37,2024-08-27 13:51:29,"1840 days, 10:17:52"
co.elastic.apm:apm-agent-parent,CVE-2021-37942,HIGH,1.18.0,1.26.2,2020-09-08 01:02:01,2021-12-30 08:37:26,"478 days, 7:35:25"
cn.hutool:hutool-json,CVE-2023-42277,CRITICAL,4.0.0,5.8.21,2018-01-12 08:18:38,2023-07-28 23:10:46,"2023 days, 14:52:08"
cn.hutool:hutool-json,CVE-2022-45690,MODERATE,4.0.0,5.8.10,2018-01-12 08:18:38,2022-11-16 17:13:39,"1769 days, 8:55:01"
cn.hutool:hutool-json,CVE-2023-42276,CRITICAL,4.0.0,5.8.21,2018-01-12 08:18:38,2023-07-28 23:10:46,"2023 days, 14:52:08"
cn.hutool:hutool-json,CVE-2022-45688,HIGH,4.0.0,5.8.24,2018-01-12 08:18:38,2023-12-23 08:09:11,"2170 days, 23:50:33"
cn.hutool:hutool-json,CVE-2023-42278,HIGH,4.0.0,5.8.21,2018-01-12 08:18:38,2023-07-28 23:10:46,"2023 days, 14:52:08"
cn.hutool:hutool-json,CVE-2022-45689,LOW,4.0.0,5.8.10,2018-01-12 08:18:38,2022-11-16 17:13:39,"1769 days, 8:55:01"
cn.hutool:hutool-parent,CVE-2018-17297,HIGH,4.0.0,4.1.11,2018-01-12 08:14:23,2018-09-12 17:28:47,"243 days, 9:14:24"
cn.hutool:hutool-all,CVE-2018-17297,HIGH,4.0.0,4.1.11,2018-01-12 08:25:39,2018-09-12 17:39:54,"243 days, 9:14:15"
cn.hutool:hutool-all,CVE-2023-24163,CRITICAL,4.0.0,5.8.20,2018-01-12 08:25:39,2023-06-16 10:19:42,"1981 days, 1:54:03"
cn.hutool:hutool-all,CVE-2023-24162,CRITICAL,4.0.0,5.8.11,2018-01-12 08:25:39,2022-12-27 06:10:17,"1809 days, 21:44:38"
cn.hutool:hutool-core,CVE-2022-4565,HIGH,4.0.0,5.8.10,2018-01-12 08:14:58,2022-11-16 17:13:52,"1769 days, 8:58:54"
cn.hutool:hutool-core,CVE-2023-33695,HIGH,4.0.0,5.8.18,2018-01-12 08:14:58,2023-04-16 08:46:14,"1920 days, 0:31:16"
cn.hutool:hutool-core,CVE-2023-42277,CRITICAL,4.0.0,5.8.21,2018-01-12 08:14:58,2023-07-28 23:07:19,"2023 days, 14:52:21"
cn.hutool:hutool-core,CVE-2023-3276,HIGH,4.0.0,5.8.19,2018-01-12 08:14:58,2023-05-26 09:28:26,"1960 days, 1:13:28"
cn.hutool:hutool-core,CVE-2023-42276,CRITICAL,4.0.0,5.8.21,2018-01-12 08:14:58,2023-07-28 23:07:19,"2023 days, 14:52:21"
cn.hutool:hutool-core,CVE-2023-42278,HIGH,4.0.0,5.8.21,2018-01-12 08:14:58,2023-07-28 23:07:19,"2023 days, 14:52:21"
cn.hutool:hutool-core,CVE-2023-51075,HIGH,4.0.0,5.8.23,2018-01-12 08:14:58,2023-11-12 03:07:59,"2129 days, 18:53:01"
cn.hutool:hutool-core,CVE-2018-17297,HIGH,4.0.0,4.1.11,2018-01-12 08:14:58,2018-09-12 17:29:24,"243 days, 9:14:26"
cn.hutool:hutool-core,CVE-2023-51080,HIGH,5.8.22,5.8.24,2023-09-13 06:28:18,2023-12-23 08:09:44,"101 days, 1:41:26"
cn.hippo4j:hippo4j-core,CVE-2023-27095,MODERATE,1.1.0-alpha,1.4.3,2022-03-01 05:51:57,2022-11-06 01:35:02,"249 days, 19:43:05"
cn.hippo4j:hippo4j-all,CVE-2023-27094,HIGH,0.0.1,1.4.3,2021-11-15 17:45:42,2022-11-06 01:28:48,"355 days, 7:43:06"
cn.hippo4j:hippo4j-all,CVE-2023-27096,MODERATE,0.0.1,1.4.3,2021-11-15 17:45:42,2022-11-06 01:28:48,"355 days, 7:43:06"
cn.hutool:hutool-http,CVE-2022-22885,CRITICAL,4.0.0,5.7.18,2018-01-12 08:21:15,2021-12-24 11:01:34,"1442 days, 2:40:19"
com.amazon.redshift:redshift-jdbc42,BIT-postgresql-jdbc-driver-2024-1597,CRITICAL,2.0.0.3,2.1.0.27,2021-03-08 14:23:32,2024-05-07 14:30:53,"1156 days, 0:07:21"
com.amazon.redshift:redshift-jdbc42,UNKNOWN,HIGH,2.0.0.3,2.1.0.7,2021-03-08 14:23:32,2022-05-04 18:21:58,"422 days, 3:58:26"
com.amazon.redshift:redshift-jdbc42,CVE-2022-41828,HIGH,2.0.0.3,2.1.0.7,2021-03-08 14:23:32,2022-05-04 18:21:58,"422 days, 3:58:26"
com.adobe.acs:acs-aem-commons,CVE-2022-28820,MODERATE,4.6.0,5.1.2,2020-05-01 08:15:30,2022-01-21 08:43:42,"630 days, 0:28:12"
com.adobe.acs:acs-aem-commons,CVE-2021-21028,MODERATE,4.6.0,4.9.2,2020-05-01 08:15:30,2020-11-10 12:04:23,"193 days, 3:48:53"
com.adobe.cq:core.wcm.components.core,CVE-2022-35697,MODERATE,2.2.0,2.20.6,2018-11-22 05:55:11,2022-07-07 06:29:24,"1323 days, 0:34:13"
com.alibaba.oneagent:one-java-agent-plugin,CVE-2022-25842,MODERATE,0.0.1,0.0.1,2021-03-13 09:17:01,2021-03-13 09:17:01,0:00:00
com.adobe.xmp:xmpcore,CVE-2016-4216,HIGH,5.1.0,5.1.2,2012-05-23 07:25:48,2012-07-03 03:13:39,"40 days, 19:47:51"
com.amazonaws:aws-android-sdk-mobile-client,CVE-2022-4725,CRITICAL,2.6.7,2.59.0,2017-11-16 13:53:16,2022-11-22 10:44:08,"1831 days, 20:50:52"
com.alipay.sofa:hessian,CVE-2019-9212,CRITICAL,3.3.0,3.3.5,2018-04-08 21:00:52,2019-01-02 22:49:07,"269 days, 1:48:15"
com.alipay.sofa:hessian,CVE-2024-46983,HIGH,3.3.0,3.5.4,2018-04-08 21:00:52,2024-08-18 19:57:58,"2323 days, 22:57:06"
com.amazonaws:aws-encryption-sdk-java,CVE-2020-8897,HIGH,0.0.1,1.9.2,2016-10-04 13:43:31,2022-08-30 11:44:14,"2155 days, 22:00:43"
com.amazonaws:aws-encryption-sdk-java,CVE-2024-23680,MODERATE,0.0.1,2.0.0,2016-10-04 13:43:31,2020-09-24 18:47:34,"1451 days, 5:04:03"
com.amazonaws:aws-dynamodb-encryption-java,UNKNOWN,LOW,1.11.0,1.14.1,2016-08-04 10:42:19,2019-10-15 10:38:42,"1166 days, 23:56:23"
com.aerospike:aerospike-client,CVE-2023-36480,CRITICAL,3.0.22,6.1.11,2014-02-11 10:10:53,2023-06-21 14:30:24,"3417 days, 4:19:31"
com.amazon.ion:ion-java,CVE-2024-21634,HIGH,1.4.0,1.10.4,2019-04-11 16:02:47,2023-09-14 15:33:33,"1616 days, 23:30:46"
com.alibaba.nacos:nacos-spring-context,CVE-2023-39106,HIGH,0.2.1-RC1,1.1.1,2018-09-21 22:30:42,2021-07-14 09:25:13,"1026 days, 10:54:31"
com.alibaba.nacos:nacos-client,CVE-2021-43116,HIGH,0.1.0,1.4.5,2018-07-20 05:06:15,2023-03-17 04:40:01,"1700 days, 23:33:46"
com.alipay.sofa:rpc-sofa-boot-starter,CVE-2024-23636,CRITICAL,5.3.0,3.22.0,2018-04-15 08:07:52,2024-01-24 23:23:36,"2110 days, 15:15:44"
com.alibaba:dubbo,CVE-2021-25641,CRITICAL,2.5.1,2.6.8,2012-08-21 23:36:10,2020-03-09 17:29:07,"2756 days, 17:52:57"
com.alibaba:dubbo,CVE-2022-24969,MODERATE,2.5.1,2.6.11,2012-08-21 23:36:10,2021-09-14 06:15:55,"3310 days, 6:39:45"
com.alibaba:dubbo,CVE-2021-30179,CRITICAL,2.5.1,2.6.8,2012-08-21 23:36:10,2020-03-09 17:29:07,"2756 days, 17:52:57"
com.alibaba:dubbo,CVE-2021-30181,CRITICAL,2.5.1,2.6.8,2012-08-21 23:36:10,2020-03-09 17:29:07,"2756 days, 17:52:57"
com.alibaba:dubbo,CVE-2021-25640,MODERATE,2.5.1,2.6.8,2012-08-21 23:36:10,2020-03-09 17:29:07,"2756 days, 17:52:57"
com.alibaba:fastjson,CVE-2022-25845,HIGH,1.2.25,1.2.67_noneautotype2,2017-03-09 20:02:49,2022-09-18 18:06:30,"2018 days, 22:03:41"
com.alibaba:fastjson,CVE-2017-18349,CRITICAL,1.1.15,1.1.70.android_noneautotype,2012-02-06 23:40:07,2024-01-08 16:54:29,"4353 days, 17:14:22"
com.alibaba.nacos:nacos-common,CVE-2020-19676,MODERATE,0.1.0,1.2.0-beta.1,2018-07-20 05:05:38,2020-02-20 19:59:41,"580 days, 14:54:03"
com.alibaba.nacos:nacos-common,CVE-2021-29441,HIGH,0.1.0,1.4.0,2018-07-20 05:05:38,2020-11-02 03:39:11,"835 days, 22:33:33"
com.alibaba.nacos:nacos-common,CVE-2021-44667,MODERATE,0.1.0,1.4.5,2018-07-20 05:05:38,2023-03-17 04:39:43,"1700 days, 23:34:05"
com.amazonaws:aws-java-sdk-s3,CVE-2022-31159,HIGH,1.9.0,1.12.260,2014-10-08 11:46:55,2022-07-13 15:59:43,"2835 days, 4:12:48"
com.alipay.sofa.acts:acts-common-util,CVE-2022-38749,MODERATE,1.0.0,1.0.0,2019-03-19 05:56:52,2019-03-19 05:56:52,0:00:00
com.alibaba:hessian-lite,CVE-2022-39198,CRITICAL,3.2.2,3.2.12,2018-03-14 22:48:35,2021-11-26 00:49:18,"1352 days, 2:00:43"
com.azure:azure-storage-blob,CVE-2022-30187,MODERATE,12.0.0-preview.1,12.18.0-beta.1,2019-07-03 15:39:26,2022-06-15 16:43:50,"1078 days, 1:04:24"
