Artifact,CVE_ID,Severity,Start Version,End Version,Start,End,Duration,API_ID,API_Aliases,API_Modified,API_Published,API_Severity
ai.h2o:h2o-core,CVE-2024-6960,HIGH,0.1.3,3.46.0.4,2014-07-31 20:56:16,2024-07-09 13:54:07,"3630 days, 16:57:51",GHSA-w36w-948j-xhfw,CVE-2024-6960,2024-07-22T15:11:50.047192Z,2024-07-21T12:30:48Z,HIGH
ai.h2o:h2o-core,CVE-2023-6038,CRITICAL,0.1.3,3.40.0.4,2014-07-31 20:56:16,2023-04-28 05:56:47,"3192 days, 9:00:31",GHSA-6mv8-95x5-xcq9,CVE-2023-6038,2024-04-16T16:01:58.463024Z,2023-11-16T18:30:31Z,CRITICAL
ai.djl:api,CGA-mcv5-fjr6-wxgg,CRITICAL,0.2.0,0.27.0,2019-11-27 12:39:37,2024-03-28 12:02:39,"1582 days, 23:23:02",GHSA-w877-jfw7-46rj,"CGA-mcv5-fjr6-wxgg, CVE-2024-37902",2024-06-25T02:35:10.436021Z,2024-06-17T21:20:44Z,CRITICAL
be.cylab:snakeyaml,CVE-2022-38749,MODERATE,1.25.1,1.25.1,2019-08-27 05:08:10,2019-08-27 05:08:10,0:00:00,GHSA-c4r9-r8fh-9vj2,CVE-2022-38749,2024-03-15T12:49:34.373482Z,2022-09-06T00:00:27Z,MODERATE
axis:axis,CVE-2012-5784,MODERATE,1.1-beta,1.4,2005-08-01 02:26:22,2006-04-22 21:32:12,"264 days, 19:05:50",GHSA-55w9-c3g2-4rrh,CVE-2012-5784,2023-11-08T03:57:10.339397Z,2020-10-07T17:51:02Z,MODERATE
axis:axis,CVE-2014-3596,MODERATE,1.1-beta,1.4,2005-08-01 02:26:22,2006-04-22 21:32:12,"264 days, 19:05:50",GHSA-r53v-vm87-f72c,CVE-2014-3596,2024-03-11T05:20:27.200994Z,2018-10-16T20:50:58Z,MODERATE
axis:axis,CVE-2018-8032,MODERATE,1.1-beta,1.4,2005-08-01 02:26:22,2006-04-22 21:32:12,"264 days, 19:05:50",GHSA-96jq-75wh-2658,CVE-2018-8032,2024-06-25T02:34:38.958612Z,2018-10-16T20:51:15Z,MODERATE
axis:axis,CVE-2023-40743,CRITICAL,1.1-beta,1.4,2005-08-01 02:26:22,2006-04-22 21:32:12,"264 days, 19:05:50",GHSA-rmqp-9w4c-gc7w,CVE-2023-40743,2024-08-02T11:04:55.087495Z,2023-09-05T15:30:25Z,CRITICAL
axis:axis,CVE-2019-0227,HIGH,1.1-beta,1.4,2005-08-01 02:26:22,2006-04-22 21:32:12,"264 days, 19:05:50",GHSA-h9gj-rqrw-x4fq,CVE-2019-0227,2024-06-25T02:34:58.049130Z,2019-05-14T04:02:24Z,HIGH
axis:axis,CVE-2023-51441,HIGH,1.1-beta,1.3,2005-08-01 02:26:22,2005-11-22 10:07:33,"113 days, 7:41:11",GHSA-hr2c-p8rh-238h,CVE-2023-51441,2024-03-14T22:01:29.539084Z,2024-01-06T12:30:34Z,HIGH
