',artifact_name,release_version,timestamp,cve_id,cve_severity,clean_release_version
0,ai.djl:api,0.27.0,2024-03-28,CGA-mcv5-fjr6-wxgg,CRITICAL,0.27.0
1,ai.h2o:h2o-core,3.46.0.4,2024-07-09,CVE-2024-6960,HIGH,3.46.0.4
2,axis:axis,1.4,2006-04-22,CVE-2012-5784,MODERATE,1.4
3,be.cylab:snakeyaml,1.25.1,2019-08-27,CVE-2022-38749,MODERATE,1.25.1
4,ca.juliusdavies:not-yet-commons-ssl,0.3.11,2009-10-23,CVE-2014-3604,MODERATE,0.3.11
5,ca.uhn.hapi.fhir:hapi-fhir-base,3.7.0,2019-02-05,CVE-2019-12741,MODERATE,3.7.0
6,ca.uhn.hapi.fhir:hapi-fhir-jpaserver-base,5.3.3,2021-04-26,CVE-2021-32053,MODERATE,5.3.3
7,ca.uhn.hapi.fhir:org.hl7.fhir.convertors,5.6.105,2023-03-09,CVE-2023-28465,HIGH,5.6.105
8,ca.uhn.hapi.fhir:org.hl7.fhir.core,5.6.105,2023-03-09,CVE-2023-28465,HIGH,5.6.105
9,ca.uhn.hapi.fhir:org.hl7.fhir.dstu2016may,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22
10,ca.uhn.hapi.fhir:org.hl7.fhir.dstu3,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22
11,ca.uhn.hapi.fhir:org.hl7.fhir.r4,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22
12,ca.uhn.hapi.fhir:org.hl7.fhir.r4b,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22
13,ca.uhn.hapi.fhir:org.hl7.fhir.r5,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22
14,ca.uhn.hapi.fhir:org.hl7.fhir.utilities,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22
15,ca.uhn.hapi.fhir:org.hl7.fhir.validation,5.6.105,2023-03-09,CVE-2023-28465,HIGH,5.6.105
16,cc.plural:jsonij,0.5.2,2019-01-05,CVE-2023-34614,HIGH,0.5.2
17,ch.qos.logback:logback-classic,1.4.11,2023-08-09,CVE-2023-6378,HIGH,1.4.11
18,ch.qos.logback:logback-core,1.4.13,2023-11-28,CVE-2023-6481,HIGH,1.4.13
19,cn.dev33:sa-token-core,1.36.0,2023-09-21,CVE-2023-44794,CRITICAL,1.36.0
20,cn.hippo4j:hippo4j-all,1.4.3,2022-11-06,CVE-2023-27094,HIGH,1.4.3
21,cn.hippo4j:hippo4j-core,1.4.3,2022-11-06,CVE-2023-27095,MODERATE,1.4.3
22,cn.hutool:hutool-all,5.8.20,2023-06-16,CVE-2023-24163,CRITICAL,5.8.20
23,cn.hutool:hutool-core,5.8.24,2023-12-23,CVE-2023-51080,HIGH,5.8.24
24,cn.hutool:hutool-http,5.7.18,2021-12-24,CVE-2022-22885,CRITICAL,5.7.18
25,cn.hutool:hutool-json,5.8.24,2023-12-23,CVE-2022-45688,HIGH,5.8.24
26,cn.hutool:hutool-parent,4.1.11,2018-09-12,CVE-2018-17297,HIGH,4.1.11
27,co.elastic.apm:apm-agent-parent,1.27.0,2021-11-15,CVE-2021-37942,HIGH,1.27.0
28,com.adobe.acs:acs-aem-commons,5.1.2,2022-01-21,CVE-2022-28820,MODERATE,5.1.2
29,com.adobe.cq:core.wcm.components.core,2.20.6,2022-07-07,CVE-2022-35697,MODERATE,2.20.6
30,com.adobe.xmp:xmpcore,5.1.2,2012-07-03,CVE-2016-4216,HIGH,5.1.2
31,com.aerospike:aerospike-client,6.1.11,2023-06-21,CVE-2023-36480,CRITICAL,6.1.11
32,com.alibaba.nacos:nacos-client,2.0.3,2021-07-28,CVE-2021-43116,HIGH,2.0.3
33,com.alibaba.nacos:nacos-common,2.0.3,2021-07-28,CVE-2021-44667,MODERATE,2.0.3
34,com.alibaba.nacos:nacos-spring-context,1.1.1,2021-07-14,CVE-2023-39106,HIGH,1.1.1
35,com.alibaba.oneagent:one-java-agent-plugin,0.0.1,2021-03-13,CVE-2022-25842,MODERATE,0.0.1
36,com.alibaba:dubbo,2.6.11,2021-09-14,CVE-2022-24969,MODERATE,2.6.11
37,com.alibaba:fastjson,1.2.80,2022-03-25,CVE-2022-25845,HIGH,1.2.80
38,com.alibaba:hessian-lite,3.2.12,2021-11-26,CVE-2022-39198,CRITICAL,3.2.12
