Unnamed: 0,artifact_name,release_version,timestamp,cve_id,cve_severity,clean_release_version,Exists_in_latest_releases
0,ai.djl:api,0.27.0,2024-03-28,CGA-mcv5-fjr6-wxgg,CRITICAL,0.27.0,False
1,ai.h2o:h2o-core,3.46.0.4,2024-07-09,CVE-2024-6960,HIGH,3.46.0.4,True
2,axis:axis,1.4,2006-04-22,CVE-2012-5784,MODERATE,1.4,True
3,be.cylab:snakeyaml,1.25.1,2019-08-27,CVE-2022-38749,MODERATE,1.25.1,True
4,ca.juliusdavies:not-yet-commons-ssl,0.3.11,2009-10-23,CVE-2014-3604,MODERATE,0.3.11,False
5,ca.uhn.hapi.fhir:hapi-fhir-base,3.7.0,2019-02-05,CVE-2019-12741,MODERATE,3.7.0,False
6,ca.uhn.hapi.fhir:hapi-fhir-jpaserver-base,5.3.3,2021-04-26,CVE-2021-32053,MODERATE,5.3.3,False
7,ca.uhn.hapi.fhir:org.hl7.fhir.convertors,5.6.105,2023-03-09,CVE-2023-28465,HIGH,5.6.105,False
8,ca.uhn.hapi.fhir:org.hl7.fhir.core,5.6.105,2023-03-09,CVE-2023-28465,HIGH,5.6.105,False
9,ca.uhn.hapi.fhir:org.hl7.fhir.dstu2016may,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22,False
10,ca.uhn.hapi.fhir:org.hl7.fhir.dstu3,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22,False
11,ca.uhn.hapi.fhir:org.hl7.fhir.r4,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22,False
12,ca.uhn.hapi.fhir:org.hl7.fhir.r4b,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22,False
13,ca.uhn.hapi.fhir:org.hl7.fhir.r5,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22,False
14,ca.uhn.hapi.fhir:org.hl7.fhir.utilities,6.3.22,2024-08-27,CVE-2024-45294,HIGH,6.3.22,False
15,ca.uhn.hapi.fhir:org.hl7.fhir.validation,5.6.105,2023-03-09,CVE-2023-28465,HIGH,5.6.105,False
16,cc.plural:jsonij,0.5.2,2019-01-05,CVE-2023-34614,HIGH,0.5.2,True
17,ch.qos.logback:logback-classic,1.4.11,2023-08-09,CVE-2023-6378,HIGH,1.4.11,False
18,ch.qos.logback:logback-core,1.4.13,2023-11-28,CVE-2023-6481,HIGH,1.4.13,False
19,cn.dev33:sa-token-core,1.36.0,2023-09-21,CVE-2023-44794,CRITICAL,1.36.0,False
20,cn.hippo4j:hippo4j-all,1.4.3,2022-11-06,CVE-2023-27094,HIGH,1.4.3,False
21,cn.hippo4j:hippo4j-core,1.4.3,2022-11-06,CVE-2023-27095,MODERATE,1.4.3,False
22,cn.hutool:hutool-all,5.8.20,2023-06-16,CVE-2023-24163,CRITICAL,5.8.20,False
23,cn.hutool:hutool-core,5.8.24,2023-12-23,CVE-2023-51080,HIGH,5.8.24,False
24,cn.hutool:hutool-http,5.7.18,2021-12-24,CVE-2022-22885,CRITICAL,5.7.18,False
25,cn.hutool:hutool-json,5.8.24,2023-12-23,CVE-2022-45688,HIGH,5.8.24,False
26,cn.hutool:hutool-parent,4.1.11,2018-09-12,CVE-2018-17297,HIGH,4.1.11,False
27,co.elastic.apm:apm-agent-parent,1.27.0,2021-11-15,CVE-2021-37942,HIGH,1.27.0,False
28,com.adobe.acs:acs-aem-commons,5.1.2,2022-01-21,CVE-2022-28820,MODERATE,5.1.2,False
29,com.adobe.cq:core.wcm.components.core,2.20.6,2022-07-07,CVE-2022-35697,MODERATE,2.20.6,False
30,com.adobe.xmp:xmpcore,5.1.2,2012-07-03,CVE-2016-4216,HIGH,5.1.2,False
31,com.aerospike:aerospike-client,6.1.11,2023-06-21,CVE-2023-36480,CRITICAL,6.1.11,False
32,com.alibaba.nacos:nacos-client,2.0.3,2021-07-28,CVE-2021-43116,HIGH,2.0.3,False
33,com.alibaba.nacos:nacos-common,2.0.3,2021-07-28,CVE-2021-44667,MODERATE,2.0.3,False
34,com.alibaba.nacos:nacos-spring-context,1.1.1,2021-07-14,CVE-2023-39106,HIGH,1.1.1,False
35,com.alibaba.oneagent:one-java-agent-plugin,0.0.1,2021-03-13,CVE-2022-25842,MODERATE,0.0.1,False
36,com.alibaba:dubbo,2.6.11,2021-09-14,CVE-2022-24969,MODERATE,2.6.11,False
37,com.alibaba:fastjson,1.2.80,2022-03-25,CVE-2022-25845,HIGH,1.2.80,False
38,com.alibaba:hessian-lite,3.2.12,2021-11-26,CVE-2022-39198,CRITICAL,3.2.12,False
39,com.alipay.sofa.acts:acts-common-util,1.0.0,2019-03-19,CVE-2022-38749,MODERATE,1.0.0,True
40,com.alipay.sofa:hessian,4.0.1,2018-12-27,CVE-2019-9212,CRITICAL,4.0.1,False
41,com.alipay.sofa:rpc-sofa-boot-starter,5.5.3,2019-05-16,CVE-2024-23636,CRITICAL,5.5.3,False
42,com.amazon.ion:ion-java,1.10.4,2023-09-14,CVE-2024-21634,HIGH,1.10.4,False
43,com.amazon.redshift:redshift-jdbc42,2.1.0.27,2024-05-07,BIT-postgresql-jdbc-driver-2024-1597,CRITICAL,2.1.0.27,False
44,com.amazonaws:aws-android-sdk-mobile-client,2.59.0,2022-11-22,CVE-2022-4725,CRITICAL,2.59.0,False
45,com.amazonaws:aws-dynamodb-encryption-java,1.14.1,2019-10-15,UNKNOWN,LOW,1.14.1,False
46,com.amazonaws:aws-encryption-sdk-java,2.0.0,2020-09-24,CVE-2024-23680,MODERATE,2.0.0,False
47,com.amazonaws:aws-java-sdk-s3,1.12.260,2022-07-13,CVE-2022-31159,HIGH,1.12.260,False
48,com.atlassian.connect:atlassian-connect-spring-boot,2.1.4,2021-03-24,CVE-2021-26077,HIGH,2.1.4,False
49,com.atlassian.connect:atlassian-connect-spring-boot-starter,2.1.2,2020-11-18,CVE-2021-26074,MODERATE,2.1.2,False
50,com.azure:azure-identity,1.12.1,2024-05-02,CVE-2024-35255,MODERATE,1.12.1,False
51,com.azure:azure-storage-blob,12.18.0-beta.1,2022-06-15,CVE-2022-30187,MODERATE,12.18.0,False
52,com.baomidou:mybatis-plus,3.5.3,2022-12-28,CVE-2023-25330,CRITICAL,3.5.3,False
53,com.bmuschko:gradle-vagrant-plugin,2.2.1,2021-02-09,CVE-2021-21361,HIGH,2.2.1,False
54,com.browserup:browserup-proxy,2.1.1,2020-05-26,CVE-2020-26282,HIGH,2.1.1,False
55,com.bstek.uflo:uflo-core,2.1.5,2019-07-28,CVE-2022-25894,CRITICAL,2.1.5,True
56,com.bstek.ureport:ureport2-console,2.2.9,2018-07-30,CVE-2020-21122,HIGH,2.2.9,True
57,com.bstek.ureport:ureport2-core,2.2.9,2018-07-30,CVE-2023-24187,HIGH,2.2.9,True
58,com.caucho:resin,4.0.53,2019-01-08,CVE-2021-44138,HIGH,4.0.53,False
59,com.caverock:androidsvg,1.2.2-beta-1,2014-06-16,CVE-2017-1000498,HIGH,1.2.2,False
60,com.cedarsoftware:json-io,4.14.0,2022-10-14,CVE-2023-34610,HIGH,4.14.0,False
61,com.charleskorn.kaml:kaml,0.52.0,2023-02-24,CVE-2023-28118,HIGH,0.52.0,False
62,com.clever-cloud:biscuit-java,1.1.4,2022-01-10,CVE-2022-31053,CRITICAL,1.1.4,False
63,com.clickhouse:clickhouse-client,0.4.5,2023-04-24,CVE-2024-23689,MODERATE,0.4.5,False
64,com.clickhouse:clickhouse-jdbc,0.4.5,2023-04-24,CVE-2024-23689,MODERATE,0.4.5,False
65,com.clickhouse:clickhouse-r2dbc,0.4.5,2023-04-24,CVE-2024-23689,MODERATE,0.4.5,False
66,com.codenameone:codenameone-core,v7.0.81,2022-09-01,CVE-2022-4903,CRITICAL,v7.0.81,False
67,com.coravy.hudson.plugins.github:github,0.2,2010-05-19,CVE-2023-46650,HIGH,0.2,False
68,com.cosium.vet:vet,3.22,2019-06-25,CVE-2021-29425,MODERATE,3.22,True
69,com.cronutils:cron-utils,9.1.5,2021-04-01,CVE-2021-41269,CRITICAL,9.1.5,False
70,com.ctrip.framework.apollo:apollo,2.0.1,2022-06-03,CVE-2023-25570,HIGH,2.0.1,True
71,com.ctrip.framework.apollo:apollo-core,1.7.0,2020-08-01,CVE-2020-15170,HIGH,1.7.0,False
72,com.datadoghq:datadog-api-client,1.0.0-beta.7,2021-01-11,CVE-2021-21331,LOW,1.0.0,False
