data_class,combined_name,group_id,artifact_id,cve_id,severity,cve_patched,cve_publish_date,cve_duration,start_version,start_version_timestamp,start_version_date,end_version,end_version_timestamp,end_version_date,patched_version,patched_version_timestamp,patched_version_date,latest_version,api_id,api_aliases,scm_url,github_url,github_api_url,github_owner,github_repo
1,com.google.guava:guava-jdk5,com.google.guava,guava-jdk5,CGA-8223-gxg7-8cjf,MODERATE,True,2020-06-15T20:35:11Z,140753022683,13.0,1348634187000,2012-09-25,17.0,1398200962000,2014-04-22,,,N/A,,GHSA-mvr2-9pj6-7w5j,"CGA-8223-gxg7-8cjf, CVE-2018-10237",,,,,
0,cn.hutool:hutool-http,cn.hutool,hutool-http,CVE-2022-22885,CRITICAL,True,2022-02-17T00:00:26Z,-3495201000,4.0.0,1515774075000,2018-01-12,5.7.18,1640372494000,2021-12-24,5.7.19,1641560825000,2022-01-07,,GHSA-p7w9-8mxw-p3g7,CVE-2022-22885,,,,,
0,com.alibaba.oneagent:one-java-agent-plugin,com.alibaba.oneagent,one-java-agent-plugin,CVE-2022-25842,MODERATE,True,2022-05-03T00:00:44Z,-750541000,0.0.1,1615655821000,2021-03-13,0.0.1,1615655821000,2021-03-13,0.0.2,1650785503000,2022-04-24,,GHSA-9hr3-j9mc-xmq2,CVE-2022-25842,,,,,
1,com.bstek.ureport:ureport2-console,com.bstek.ureport,ureport2-console,CVE-2022-25767,CRITICAL,True,2022-05-03T00:00:44Z,81470289769,2.0.0,1496377674000,2017-06-01,2.2.9,1533007544000,2018-07-30,,,N/A,,GHSA-w39x-chvm-pj3c,CVE-2022-25767,https://github.com/jacky6024/ureport2,https://github.com/jacky6024/ureport2,https://api.github.com/repos/jacky6024/ureport2,jacky6024,ureport2
0,com.amazonaws:aws-java-sdk-s3,com.amazonaws,aws-java-sdk-s3,CVE-2022-31159,HIGH,True,2022-07-15T20:44:55Z,-87175000,1.9.0,1412794015000,2014-10-08,1.12.260,1657753183000,2022-07-13,1.12.261,1657830720000,2022-07-14,,GHSA-c28r-hw5m-5gv3,CVE-2022-31159,https://github.com/aws/aws-sdk-java.git,https://github.com/aws/aws-sdk-java,https://api.github.com/repos/aws/aws-sdk-java,aws,aws-sdk-java
1,com.diamondq.common:common-thirdparty.jcasbin,com.diamondq.common,common-thirdparty.jcasbin,CVE-2021-29425,MODERATE,True,2021-04-26T16:04:00Z,113553293743,1.4.0,1584321705000,2020-03-15,1.4.0,1584321705000,2020-03-15,,,N/A,,GHSA-gwrp-pvrq-jmwv,CVE-2021-29425,https://github.com/diamondq/osgi-thirdparty/tree/master/common-thirdparty.jcasbin,https://github.com/diamondq/osgi-thirdparty,https://api.github.com/repos/diamondq/osgi-thirdparty,diamondq,osgi-thirdparty
0,com.codenameone:codenameone-core,com.codenameone,codenameone-core,CVE-2022-4903,CRITICAL,True,2023-02-10T15:30:28Z,-25328271000,7.0.8-b1,1613175239000,2021-02-12,v7.0.81,1662093034000,2022-09-01,7.0.71,1650714757000,2022-04-23,,GHSA-p6xq-9h8r-v544,CVE-2022-4903,,,,,
0,com.amazonaws:aws-android-sdk-mobile-client,com.amazonaws,aws-android-sdk-mobile-client,CVE-2022-4725,CRITICAL,True,2022-12-27T15:30:19Z,-1729291000,2.6.7,1510869196000,2017-11-16,2.59.0,1669142648000,2022-11-22,2.59.1,1670425728000,2022-12-07,,GHSA-f5h9-qx38-2hgp,CVE-2022-4725,,,,,
0,com.ibeetl:beetl,com.ibeetl,beetl,CVE-2023-30331,CRITICAL,True,2023-05-04T03:30:22Z,-2722465000,2.2.5,1441722256000,2015-09-08,3.15.0.RELEASE,1679582852000,2023-03-23,3.15.1.RELEASE,1680448557000,2023-04-02,,GHSA-m69h-4frq-vwq7,CVE-2023-30331,https://github.com/javamonkey/beetl2.0.git,https://github.com/javamonkey/beetl2.0,https://api.github.com/repos/javamonkey/beetl2.0,javamonkey,beetl2.0
1,com.helger.commons:ph-json,com.helger.commons,ph-json,CVE-2023-34612,HIGH,True,2023-06-14T15:30:38Z,354638000,10.0.0,1616363903000,2021-03-21,10.2.5,1687109951000,2023-06-18,11.0.5,1687111276000,2023-06-18,,GHSA-mx27-gg24-h2jc,CVE-2023-34612,,,,,
0,com.googlecode.plist:dd-plist,com.googlecode.plist,dd-plist,CVE-2016-15026,HIGH,True,2023-02-20T12:30:18Z,-190675952000,1.0,1345981046000,2012-08-26,1.17,1486219990000,2017-02-04,1.18,1486220266000,2017-02-04,,GHSA-4jx2-hvqw-93j9,CVE-2016-15026,http://code.google.com/p/plist/source/browse/tags/dd-plist-1.0,,,,
0,com.bmuschko:gradle-vagrant-plugin,com.bmuschko,gradle-vagrant-plugin,CVE-2021-21361,HIGH,True,2021-03-09T00:38:41Z,-1715009000,2.2,1612623084000,2021-02-06,2.2.1,1612922214000,2021-02-09,3.0.0,1613535312000,2021-02-16,,GHSA-jpcm-4485-69p7,CVE-2021-21361,https://github.com/bmuschko/gradle-vagrant-plugin,https://github.com/bmuschko/gradle-vagrant-plugin,https://api.github.com/repos/bmuschko/gradle-vagrant-plugin,bmuschko,gradle-vagrant-plugin
1,ca.uhn.hapi.fhir:org.hl7.fhir.dstu2,ca.uhn.hapi.fhir,org.hl7.fhir.dstu2,CVE-2024-51132,HIGH,True,2024-11-05T18:32:11Z,2174802775,4.0.0,1565777071000,2019-08-14,6.3.23,1724869042000,2024-08-28,,,N/A,,GHSA-4cf2-cxp3-rjr7,CVE-2024-51132,,,,,
1,com.bstek.ureport:ureport2-console,com.bstek.ureport,ureport2-console,CVE-2020-21122,HIGH,True,2021-09-20T20:45:21Z,100835612769,2.0.0,1496377674000,2017-06-01,2.2.9,1533007544000,2018-07-30,,,N/A,,GHSA-6q3p-36f4-cwxv,CVE-2020-21122,https://github.com/jacky6024/ureport2,https://github.com/jacky6024/ureport2,https://api.github.com/repos/jacky6024/ureport2,jacky6024,ureport2
0,com.azure:azure-core-amqp,com.azure,azure-core-amqp,CVE-2020-16971,HIGH,True,2022-05-24T17:35:51Z,-50881606000,1.0.0-preview.1,1561742394000,2019-06-28,1.6.0-beta.1,1601083863000,2020-09-25,1.6.0,1602532145000,2020-10-12,,GHSA-8q69-pw39-hpqh,CVE-2020-16971,https://github.com/Azure/azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java,https://api.github.com/repos/Azure/azure-sdk-for-java,Azure,azure-sdk-for-java
0,com.ibeetl:beetl-core,com.ibeetl,beetl-core,CVE-2024-22533,CRITICAL,True,2024-02-02T03:30:32Z,-3160256000,3.11.0.RELEASE,1664293181000,2022-09-27,3.15.12.RELEASE,1702217989000,2023-12-10,3.15.13.RELEASE,1703684376000,2023-12-27,,GHSA-9gh8-877r-g477,CVE-2024-22533,,,,,
0,com.graphhopper:graphhopper-nav,com.graphhopper,graphhopper-nav,CVE-2021-29506,MODERATE,True,2021-05-19T23:02:57Z,-9536997000,2.0-pre2,1599554975000,2020-09-08,client_hc_no_vehicle,1618843452000,2021-04-19,3.0-pre1,1611928380000,2021-01-29,,GHSA-hf44-3mx6-vhhw,CVE-2021-29506,,,,,
1,com.ctrip.framework.apollo:apollo-core,com.ctrip.framework.apollo,apollo-core,CVE-2020-15170,HIGH,True,2020-10-02T16:33:41Z,11917833000,1.0.0,1533566357000,2018-08-06,1.7.0,1596291586000,2020-08-01,1.8.0,1613574254000,2021-02-17,,GHSA-xpmx-h7xq-xffh,CVE-2020-15170,,,,,
0,com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer,com.googlecode.owasp-java-html-sanitizer,owasp-java-html-sanitizer,CVE-2011-4457,LOW,True,2022-05-17T05:36:48Z,-222235648000,r136,1359096343000,2013-01-24,1.1,1444326458000,2015-10-08,20150501.1,1430530160000,2015-05-01,,GHSA-pcm9-fp55-563v,CVE-2011-4457,,,,,
0,com.liferay.portal:portal-service,com.liferay.portal,portal-service,CVE-2010-5327,HIGH,True,2022-05-17T03:05:00Z,-240002831000,6.0.2,1276283456000,2010-06-11,6.2.5,1452812560000,2016-01-14,7.0.0-nightly,1412753869000,2014-10-08,,GHSA-97gm-mcv6-cphm,CVE-2010-5327,http://guest:guest@svn.liferay.com/repos/public/portal/trunk/portal-service,,,,
0,ch.qos.logback:logback-classic,ch.qos.logback,logback-classic,CVE-2023-6378,HIGH,True,2023-11-29T12:30:16Z,-184956322000,0.2.5,1156351428000,2006-08-23,1.3.11,1691609643000,2023-08-09,1.3.0-alpha0,1516304694000,2018-01-18,,GHSA-vmq6-5m68-f53m,CVE-2023-6378,http://svn.qos.ch/viewcvs/logback/classic/trunk/,,,,
0,com.hotels.styx:styx-api,com.hotels.styx,styx-api,CVE-2020-6858,MODERATE,True,2020-03-03T15:32:03Z,-38194540000,0.7.3,1511789349000,2017-11-27,v0.0.5,1581608555000,2020-02-13,1.0.0.beta3,1545054983000,2018-12-17,,GHSA-6v7p-v754-j89v,CVE-2020-6858,,,,,
0,com.amazon.ion:ion-java,com.amazon.ion,ion-java,CVE-2024-21634,HIGH,True,2024-01-03T22:04:08Z,-9070024000,1.4.0,1555023767000,2019-04-11,1.10.4,1694730813000,2023-09-14,1.10.5,1695249424000,2023-09-20,,GHSA-264p-99wq-f4j6,CVE-2024-21634,git@github.com:amzn/ion-java.git,https://github.com/amzn/ion-java,https://api.github.com/repos/amzn/ion-java,amzn,ion-java
0,com.gradle:gradle-enterprise-maven-extension,com.gradle,gradle-enterprise-maven-extension,CVE-2020-15777,HIGH,True,2022-05-24T17:26:39Z,-57571449000,1.0,1551342097000,2019-02-28,1.5.3,1592852046000,2020-06-22,1.6,1595841750000,2020-07-27,,GHSA-vp55-fhxx-vcx8,CVE-2020-15777,https://gradle.com,,,,
0,com.google.code.gson:gson,com.google.code.gson,gson,CVE-2022-25647,HIGH,True,2022-05-03T00:00:44Z,-15998444000,1.1,1218378571000,2008-08-10,2.8.8,1629475731000,2021-08-20,2.8.9,1635537600000,2021-10-29,,GHSA-4jrv-ppp4-jm57,"CVE-2022-25647, SNYK-JAVA-COMGOOGLECODEGSON-1730327",http://google-gson.codegoogle.com/svn/trunk/,,,,
0,com.google.crypto.tink:tink,com.google.crypto.tink,tink,CVE-2020-8929,MODERATE,True,2020-10-16T00:51:24Z,-82983000,1.0.0,1504916134000,2017-09-08,1.4.0,1594743010000,2020-07-14,1.5.0,1602726501000,2020-10-14,,GHSA-g5vf-v6wf-7w2r,"CVE-2020-8929, PYSEC-2020-142",,,,,
0,com.diffplug.spotless:spotless-eclipse-groovy,com.diffplug.spotless,spotless-eclipse-groovy,CVE-2019-10753,MODERATE,True,2019-09-11T23:08:57Z,-17112774000,2.9.2,1532014494000,2018-07-19,3.0.0,1536039790000,2018-09-03,3.0.1,1551130563000,2019-02-25,,GHSA-gvxv-5fp2-358q,"CVE-2019-10753, SNYK-JAVA-COMDIFFPLUGSPOTLESS-460377",https://github.com/diffplug/eclipse-groovy,https://github.com/diffplug/eclipse-groovy,https://api.github.com/repos/diffplug/eclipse-groovy,diffplug,eclipse-groovy
0,com.diffplug.spotless:spotless-plugin-gradle,com.diffplug.spotless,spotless-plugin-gradle,CVE-2019-9843,HIGH,True,2019-07-05T21:07:40Z,-9763043000,3.0.0.BETA2,1483666347000,2017-01-05,3.19.0,1552326056000,2019-03-11,3.20.0,1552597817000,2019-03-14,,GHSA-7v35-qwwj-p98g,CVE-2019-9843,https://github.com/diffplug/plugin-gradle,https://github.com/diffplug/plugin-gradle,https://api.github.com/repos/diffplug/plugin-gradle,diffplug,plugin-gradle
0,com.aerospike:aerospike-client,com.aerospike,aerospike-client,CVE-2023-36480,CRITICAL,True,2023-08-03T19:45:39Z,-77207000,3.0.22,1392142253000,2014-02-11,6.1.11,1687383024000,2023-06-21,7.0.0,1691014732000,2023-08-02,,GHSA-jj95-55cr-9597,CVE-2023-36480,https://github.com/aerospike/aerospike-client-java,https://github.com/aerospike/aerospike-client-java,https://api.github.com/repos/aerospike/aerospike-client-java,aerospike,aerospike-client-java
0,ai.djl:api,ai.djl,api,CGA-mcv5-fjr6-wxgg,CRITICAL,True,2024-06-17T21:20:44Z,-2851813000,0.2.0,1574887177000,2019-11-27,0.27.0,1711652559000,2024-03-28,0.28.0,1715807431000,2024-05-15,,GHSA-w877-jfw7-46rj,"CGA-mcv5-fjr6-wxgg, CVE-2024-37902",https://github.com/awslabs/djl,https://github.com/awslabs/djl,https://api.github.com/repos/awslabs/djl,awslabs,djl
0,com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,com.fasterxml.jackson.dataformat,jackson-dataformat-cbor,CVE-2020-28491,HIGH,True,2021-12-09T19:17:21Z,-173463963000,2.8.0.rc1,1465273169000,2016-06-06,2.12.0,1606618629000,2020-11-28,2.7.5,1465613478000,2016-06-10,,GHSA-xmc8-26q4-qjhx,"CVE-2020-28491, SNYK-JAVA-COMFASTERXMLJACKSONDATAFORMAT-1047329",,,,,
0,com.caucho:resin,com.caucho,resin,CVE-2021-44138,HIGH,True,2022-04-05T00:00:28Z,-101996825000,4.0.52,1546502521000,2019-01-03,4.0.53,1546950294000,2019-01-08,4.0.59,1547120003000,2019-01-10,,GHSA-4w2q-9hp2-vxj5,CVE-2021-44138,svn://svn.caucho.com/home/svn/svnroot/resin/trunk,,,,
0,com.diffplug.spotless:spotless-eclipse-wtp,com.diffplug.spotless,spotless-eclipse-wtp,CVE-2019-10753,MODERATE,True,2019-09-11T23:08:57Z,-18399409000,3.9.5,1533742820000,2018-08-08,3.9.5,1533742820000,2018-08-08,3.9.6,1549843928000,2019-02-10,,GHSA-gvxv-5fp2-358q,"CVE-2019-10753, SNYK-JAVA-COMDIFFPLUGSPOTLESS-460377",https://github.com/diffplug/eclipse-wtp,https://github.com/diffplug/eclipse-wtp,https://api.github.com/repos/diffplug/eclipse-wtp,diffplug,eclipse-wtp
1,com.googlecode.gwtupload:gwtupload,com.googlecode.gwtupload,gwtupload,CVE-2020-9447,MODERATE,True,2021-04-22T16:15:33Z,113898200207,0.6,1278515297000,2010-07-07,1.0.3,1421151662000,2015-01-13,,,N/A,,GHSA-5chj-xprr-7qqx,CVE-2020-9447,,,,,
0,com.baomidou:mybatis-plus,com.baomidou,mybatis-plus,CVE-2023-25330,CRITICAL,True,2023-04-05T15:30:24Z,-8324279000,1.0,1453882748000,2016-01-27,3.5.3,1672219645000,2022-12-28,3.5.3.1,1672384345000,2022-12-29,,GHSA-32qq-m9fh-f74w,CVE-2023-25330,git@git.oschina.net:juapk/mybatis-plus.git,,,,
0,com.diffplug.gradle:goomph,com.diffplug.gradle,goomph,CVE-2022-26049,HIGH,True,2022-09-12T00:00:33Z,-2856107000,0.1.0,1444219630000,2015-10-07,3.37.1,1656205151000,2022-06-25,3.37.2,1660084726000,2022-08-09,,GHSA-p2f7-9cv7-jjf6,CVE-2022-26049,https://github.com/diffplug/goomph,https://github.com/diffplug/goomph,https://api.github.com/repos/diffplug/goomph,diffplug,goomph
0,com.adobe.xmp:xmpcore,com.adobe.xmp,xmpcore,CVE-2016-4216,HIGH,True,2018-10-19T16:39:29Z,-67246168000,5.1.0,1337783148000,2012-05-23,5.1.2,1341310419000,2012-07-03,6.0.4,1472721001000,2016-09-01,,GHSA-qv32-7r6p-xhhh,CVE-2016-4216,http://www.adobe.com/devnet/xmp.html,,,,
0,com.hazelcast.jet:hazelcast-jet,com.hazelcast.jet,hazelcast-jet,CVE-2022-36437,CRITICAL,True,2022-12-27T14:40:39Z,-1565294000,0.3,1486391538000,2017-02-06,4.5.3,1640073200000,2021-12-20,4.5.4,1670586745000,2022-12-09,,GHSA-c5hg-mr8r-f6jp,CVE-2022-36437,,,,,
0,com.liferay.portal:portal-impl,com.liferay.portal,portal-impl,CVE-2010-5327,HIGH,True,2022-05-17T03:05:00Z,-240002846000,6.0.2,1276283377000,2010-06-11,6.2.5,1452812529000,2016-01-14,7.0.0-nightly,1412753854000,2014-10-08,,GHSA-97gm-mcv6-cphm,CVE-2010-5327,http://guest:guest@svn.liferay.com/repos/public/portal/trunk/portal-impl,,,,
0,com.clickhouse:clickhouse-client,com.clickhouse,clickhouse-client,CVE-2024-23689,HIGH,True,2024-01-19T21:30:36Z,-22661278000,0.3.2-test1,1638273085000,2021-11-30,0.4.5,1682382516000,2023-04-24,0.4.6,1683038558000,2023-05-02,,GHSA-3p77-wg4c-qm24,"CVE-2024-23689, GHSA-g8ph-74m6-8m7r",https://github.com/ClickHouse/clickhouse-jdbc/clickhouse-client,https://github.com/ClickHouse/clickhouse-jdbc,https://api.github.com/repos/ClickHouse/clickhouse-jdbc,ClickHouse,clickhouse-jdbc
0,com.diffplug.spotless:spotless-eclipse-cdt,com.diffplug.spotless,spotless-eclipse-cdt,CVE-2019-10753,MODERATE,True,2019-09-11T23:08:57Z,-32203397000,9.4.3,1533743033000,2018-08-08,9.4.3,1533743033000,2018-08-08,9.4.4,1536039940000,2018-09-03,,GHSA-gvxv-5fp2-358q,"CVE-2019-10753, SNYK-JAVA-COMDIFFPLUGSPOTLESS-460377",https://github.com/diffplug/eclipse-cdt,https://github.com/diffplug/eclipse-cdt,https://api.github.com/repos/diffplug/eclipse-cdt,diffplug,eclipse-cdt
0,com.liferay.portal:com.liferay.portal.kernel,com.liferay.portal,com.liferay.portal.kernel,CVE-2020-7961,CRITICAL,True,2022-05-24T17:12:05Z,-80431002000,1.0.0,1457034511000,2016-03-03,2.158.0,1709034198000,2024-02-27,4.35.3,1572981323000,2019-11-05,,GHSA-w7pm-cc4v-f3g8,CVE-2020-7961,http://github.com/liferay/liferay-portal,https://github.com/liferay/liferay-portal,https://api.github.com/repos/liferay/liferay-portal,liferay,liferay-portal
0,com.atlassian.connect:atlassian-connect-spring-boot-starter,com.atlassian.connect,atlassian-connect-spring-boot-starter,CVE-2021-26074,MODERATE,True,2021-05-10T15:19:04Z,-4336979000,1.1.0,1477969852000,2016-10-31,2.1.2,1605703937000,2020-11-18,2.1.3,1616322965000,2021-03-21,,GHSA-cpcr-74q9-74gp,CVE-2021-26074,,,,,
1,com.cedarsoftware:json-io,com.cedarsoftware,json-io,CVE-2023-34610,HIGH,True,2023-06-14T15:30:38Z,7965108000,2.2.25,1378778713000,2013-09-09,4.14.0,1665780797000,2022-10-14,4.14.1,1694721746000,2023-09-14,,GHSA-779h-3r69-4f5p,CVE-2023-34610,https://github.com/jdereg/json-io,https://github.com/jdereg/json-io,https://api.github.com/repos/jdereg/json-io,jdereg,json-io
0,com.diffplug.spotless:spotless-maven-plugin,com.diffplug.spotless,spotless-maven-plugin,CVE-2019-9843,HIGH,True,2019-07-05T21:07:40Z,-9763297000,1.0.0.BETA1,1518395547000,2018-02-11,1.19.0,1552325969000,2019-03-11,1.20.0,1552597563000,2019-03-14,,GHSA-7v35-qwwj-p98g,CVE-2019-9843,https://github.com/diffplug/plugin-maven,https://github.com/diffplug/plugin-maven,https://api.github.com/repos/diffplug/plugin-maven,diffplug,plugin-maven
0,com.caverock:androidsvg,com.caverock,androidsvg,CVE-2017-1000498,HIGH,True,2018-10-19T16:50:33Z,-5954412000,1.1.182,1363534563000,2013-03-17,1.2.2-beta-1,1402903635000,2014-06-16,1.3,1534013421000,2018-08-11,,GHSA-g556-x5vx-qh59,CVE-2017-1000498,http://code.google.com/p/androidsvg/,,,,
1,ca.juliusdavies:not-yet-commons-ssl,ca.juliusdavies,not-yet-commons-ssl,CVE-2014-3604,MODERATE,True,2022-05-14T03:59:54Z,80505539042,0.3.11,1256322759000,2009-10-23,0.3.9,1300203551000,2011-03-15,,,N/A,,GHSA-cmxj-wx9v-52qr,CVE-2014-3604,http://juliusdavies.ca/svn/viewvc.cgi/not-yet-commons-ssl/tags/commons-ssl-0.3.11/,,,,
0,com.clickhouse:clickhouse-jdbc,com.clickhouse,clickhouse-jdbc,CVE-2024-23689,HIGH,True,2024-01-19T21:30:36Z,-22661280000,0.3.2-test1,1638273090000,2021-11-30,0.4.5,1682382530000,2023-04-24,0.4.6,1683038556000,2023-05-02,,GHSA-3p77-wg4c-qm24,"CVE-2024-23689, GHSA-g8ph-74m6-8m7r",https://github.com/ClickHouse/clickhouse-jdbc/clickhouse-jdbc,https://github.com/ClickHouse/clickhouse-jdbc,https://api.github.com/repos/ClickHouse/clickhouse-jdbc,ClickHouse,clickhouse-jdbc
1,com.googlecode.guava-osgi:guava-osgi,com.googlecode.guava-osgi,guava-osgi,CGA-8223-gxg7-8cjf,MODERATE,True,2020-06-15T20:35:11Z,140753022349,3.0.0,1303459725000,2011-04-22,11.0.1,1328352123000,2012-02-04,,,N/A,,GHSA-mvr2-9pj6-7w5j,"CGA-8223-gxg7-8cjf, CVE-2018-10237",http://guava-osgi.googlecode.com/svn/trunk/,,,,
0,com.atlassian.connect:atlassian-connect-spring-boot,com.atlassian.connect,atlassian-connect-spring-boot,CVE-2021-26077,HIGH,True,2021-06-16T17:23:12Z,-7473147000,1.1.0,1477969858000,2016-10-31,2.1.4,1616629608000,2021-03-24,2.1.3,1616391045000,2021-03-21,,GHSA-2x7v-w2mv-f3rx,CVE-2021-26077,https://bitbucket.org/atlassian/atlassian-connect-spring-boot,,,,
0,ch.qos.logback:logback-classic,ch.qos.logback,logback-classic,CVE-2017-5929,CRITICAL,True,2021-06-07T16:07:36Z,-136489523000,0.2.5,1156351428000,2006-08-23,1.1.11,1488397024000,2017-03-01,1.2.0,1486592533000,2017-02-08,,GHSA-vmfg-rjjm-rjrj,CVE-2017-5929,http://svn.qos.ch/viewcvs/logback/classic/trunk/,,,,
1,cc.plural:jsonij,cc.plural,jsonij,CVE-2023-34614,HIGH,True,2023-06-14T15:30:38Z,46249695091,0.2.3.6,1299224201000,2011-03-03,0.5.2,1546681111000,2019-01-05,,,N/A,,GHSA-66gv-5m8q-rrjc,CVE-2023-34614,https://bitbucket.org/openecho/jsonij,,,,
0,com.graphhopper:graphhopper-web-bundle,com.graphhopper,graphhopper-web-bundle,CVE-2021-23408,MODERATE,True,2021-08-02T16:59:35Z,-4264714000,0.11.0-pre1,1528373073000,2018-06-07,3.0,1621258652000,2021-05-17,4.0-pre1,1623658861000,2021-06-14,,GHSA-qhxh-9hhx-6p7v,"CVE-2021-23408, SNYK-JAVA-COMGRAPHHOPPER-1320114",,,,,
1,com.cosium.vet:vet,com.cosium.vet,vet,CVE-2021-29425,MODERATE,True,2021-04-26T16:04:00Z,113553293611,1.0,1519756588000,2018-02-27,3.22,1561450920000,2019-06-25,,,N/A,,GHSA-gwrp-pvrq-jmwv,CVE-2021-29425,https://github.com/Cosium/vet,https://github.com/Cosium/vet,https://api.github.com/repos/Cosium/vet,Cosium,vet
