artifact,scm_url,github_url,github_api_url,github_owner,github_repo
biz.cgta:otest-jvm_2.11,git://github.com/cgta/otest.git,https://github.com/cgta/otest,https://api.github.com/repos/cgta/otest,cgta,otest
ai.libs:mlplan-ext-bigdata,https://github.com/fmohr/AILibs,https://github.com/fmohr/AILibs,https://api.github.com/repos/fmohr/AILibs,fmohr,AILibs
biz.littlej.jreqs:jreqs-beanvalidation,https://github.com/LittleJ/jreqs,https://github.com/LittleJ/jreqs,https://api.github.com/repos/LittleJ/jreqs,LittleJ,jreqs
be.objectify:deadbolt-java_2.13.0-M5,git@github.com:schaloner/deadbolt-2-java.git,https://github.com/schaloner/deadbolt-2-java,https://api.github.com/repos/schaloner/deadbolt-2-java,schaloner,deadbolt-2-java
at.jddev0.lang:lang-platform-api-swing,https://github.com/lang-programming/lang-platform-api-swing,https://github.com/lang-programming/lang-platform-api-swing,https://api.github.com/repos/lang-programming/lang-platform-api-swing,lang-programming,lang-platform-api-swing
app.moneytree.link:intelligence,https://github.com/moneytree/mt-link-android-sdk/,https://github.com/moneytree/mt-link-android-sdk,https://api.github.com/repos/moneytree/mt-link-android-sdk,moneytree,mt-link-android-sdk
be.ordina:microservices-dashboard-ui,https://github.com/ordina-jworks/microservices-dashboard.git/,https://github.com/ordina-jworks/microservices-dashboard,https://api.github.com/repos/ordina-jworks/microservices-dashboard,ordina-jworks,microservices-dashboard
aws.sdk.kotlin:applicationdiscoveryservice,https://github.com/awslabs/aws-sdk-kotlin,https://github.com/awslabs/aws-sdk-kotlin,https://api.github.com/repos/awslabs/aws-sdk-kotlin,awslabs,aws-sdk-kotlin
ai.databand:dbnd-mlflow,https://github.com/databand-ai/dbnd,https://github.com/databand-ai/dbnd,https://api.github.com/repos/databand-ai/dbnd,databand-ai,dbnd
be.doeraene:scalajs-pickling_sjs0.6_2.11,https://github.com/scala-js/scala-js-pickling,https://github.com/scala-js/scala-js-pickling,https://api.github.com/repos/scala-js/scala-js-pickling,scala-js,scala-js-pickling
au.com.intelix:rs-core-js_2.11,git@github.com:intelix/reactiveservices.git,https://github.com/intelix/reactiveservices,https://api.github.com/repos/intelix/reactiveservices,intelix,reactiveservices
br.com.devsrsouza.compose.icons.jetbrains:tabler-icons-android,https://github.com/devsrsouza/compose-icons,https://github.com/devsrsouza/compose-icons,https://api.github.com/repos/devsrsouza/compose-icons,devsrsouza,compose-icons
app.cash.sqldelight:async-extensions-js,https://github.com/cashapp/sqldelight/,https://github.com/cashapp/sqldelight,https://api.github.com/repos/cashapp/sqldelight,cashapp,sqldelight
au.com.dius.pact.consumer:java8,https://github.com/pact-foundation/pact-jvm,https://github.com/pact-foundation/pact-jvm,https://api.github.com/repos/pact-foundation/pact-jvm,pact-foundation,pact-jvm
br.com.basis:rancher-java-sdk,https://github.com/BasisTI/rancher-java-sdk/tree/master,https://github.com/BasisTI/rancher-java-sdk,https://api.github.com/repos/BasisTI/rancher-java-sdk,BasisTI,rancher-java-sdk
ai.ost:fastjson-protobuf,https://github.com/kaelzhang/java-fastjson-protobuf,https://github.com/kaelzhang/java-fastjson-protobuf,https://api.github.com/repos/kaelzhang/java-fastjson-protobuf,kaelzhang,java-fastjson-protobuf
ai.optiscan:optiscan,https://github.com/OptiScan-ai/barcodescanner-android-framework,https://github.com/OptiScan-ai/barcodescanner-android-framework,https://api.github.com/repos/OptiScan-ai/barcodescanner-android-framework,OptiScan-ai,barcodescanner-android-framework
app.jackychu:simple.google.translate.api,https://github.com/jackychu0830/simple.google.translate.api.git,https://github.com/jackychu0830/simple.google.translate.api,https://api.github.com/repos/jackychu0830/simple.google.translate.api,jackychu0830,simple.google.translate.api
app.cash.tempest:tempest2-testing-docker,https://github.com/cashapp/tempest/,https://github.com/cashapp/tempest,https://api.github.com/repos/cashapp/tempest,cashapp,tempest
aws.sdk.kotlin:codegurusecurity-jvm,https://github.com/awslabs/aws-sdk-kotlin,https://github.com/awslabs/aws-sdk-kotlin,https://api.github.com/repos/awslabs/aws-sdk-kotlin,awslabs,aws-sdk-kotlin
app.cash.redwood:redwood-compose-testing-macosx64,https://github.com/cashapp/redwood/,https://github.com/cashapp/redwood,https://api.github.com/repos/cashapp/redwood,cashapp,redwood
be.doeraene:scalajs-jquery_sjs1.0-RC2_2.11,https://github.com/scala-js/scala-js-jquery,https://github.com/scala-js/scala-js-jquery,https://api.github.com/repos/scala-js/scala-js-jquery,scala-js,scala-js-jquery
app.cash.sqldelight:async-extensions-watchosx64,https://github.com/cashapp/sqldelight/,https://github.com/cashapp/sqldelight,https://api.github.com/repos/cashapp/sqldelight,cashapp,sqldelight
app.cash.redwood:redwood-treehouse-host-composeui-iossimulatorarm64,https://github.com/cashapp/redwood/,https://github.com/cashapp/redwood,https://api.github.com/repos/cashapp/redwood,cashapp,redwood
ai.picovoice:falcon-android,https://github.com/picovoice/falcon/tree/main,https://github.com/picovoice/falcon,https://api.github.com/repos/picovoice/falcon,picovoice,falcon
