artifact,scm_url,github_url,github_api_url,github_owner,github_repo
at.researchstudio.sat:won-cryptography,,,,,
biz.cgta:otest-jvm_2.11,git://github.com/cgta/otest.git,https://github.com/cgta/otest,https://api.github.com/repos/cgta/otest,cgta,otest
br.com.objectos:objectos-asciidoc,,,,,
ai.libs:mlplan-ext-bigdata,https://github.com/fmohr/AILibs,https://github.com/fmohr/AILibs,https://api.github.com/repos/fmohr/AILibs,fmohr,AILibs
be.fluid-it.microservice.bundle:microservice-bundle-testing,,,,,
biz.littlej.jreqs:jreqs-beanvalidation,https://github.com/LittleJ/jreqs,https://github.com/LittleJ/jreqs,https://api.github.com/repos/LittleJ/jreqs,LittleJ,jreqs
ai.timefold.solver:timefold-solver-xstream,,,,,
be.objectify:deadbolt-java_2.13.0-M5,git@github.com:schaloner/deadbolt-2-java.git,https://github.com/schaloner/deadbolt-2-java,https://api.github.com/repos/schaloner/deadbolt-2-java,schaloner,deadbolt-2-java
at.jddev0.lang:lang-platform-api-swing,https://github.com/lang-programming/lang-platform-api-swing,https://github.com/lang-programming/lang-platform-api-swing,https://api.github.com/repos/lang-programming/lang-platform-api-swing,lang-programming,lang-platform-api-swing
app.moneytree.link:intelligence,https://github.com/moneytree/mt-link-android-sdk/,https://github.com/moneytree/mt-link-android-sdk,https://api.github.com/repos/moneytree/mt-link-android-sdk,moneytree,mt-link-android-sdk
at.crea-doo.homer:connector.ifttt.maker,,,,,
be.ordina:microservices-dashboard-ui,https://github.com/ordina-jworks/microservices-dashboard.git/,https://github.com/ordina-jworks/microservices-dashboard,https://api.github.com/repos/ordina-jworks/microservices-dashboard,ordina-jworks,microservices-dashboard
aws.sdk.kotlin:applicationdiscoveryservice,https://github.com/awslabs/aws-sdk-kotlin,https://github.com/awslabs/aws-sdk-kotlin,https://api.github.com/repos/awslabs/aws-sdk-kotlin,awslabs,aws-sdk-kotlin
ai.databand:dbnd-mlflow,https://github.com/databand-ai/dbnd,https://github.com/databand-ai/dbnd,https://api.github.com/repos/databand-ai/dbnd,databand-ai,dbnd
au.net.zeus.jgdms:jgdms-resources,,,,,
at.ac.ait.hbs.homer:at.ac.ait.hbs.homer.core.system,,,,,
LzOpenSdk:lzcomment-lib,,,,,
be.doeraene:scalajs-pickling_sjs0.6_2.11,https://github.com/scala-js/scala-js-pickling,https://github.com/scala-js/scala-js-pickling,https://api.github.com/repos/scala-js/scala-js-pickling,scala-js,scala-js-pickling
au.com.intelix:rs-core-js_2.11,git@github.com:intelix/reactiveservices.git,https://github.com/intelix/reactiveservices,https://api.github.com/repos/intelix/reactiveservices,intelix,reactiveservices
at.newmedialab.ldpath:ldpath-backend-jena,,,,,
br.com.objectos:way-auto-functional,,,,,
br.com.objectos:schema-info,,,,,
br.com.objectos:way-code-testing,,,,,
br.com.objectos.oss-java7:objectos-core-array,,,,,
br.com.devsrsouza.compose.icons.jetbrains:tabler-icons-android,https://github.com/devsrsouza/compose-icons,https://github.com/devsrsouza/compose-icons,https://api.github.com/repos/devsrsouza/compose-icons,devsrsouza,compose-icons
app.cash.sqldelight:async-extensions-js,https://github.com/cashapp/sqldelight/,https://github.com/cashapp/sqldelight,https://api.github.com/repos/cashapp/sqldelight,cashapp,sqldelight
au.com.dius.pact.consumer:java8,https://github.com/pact-foundation/pact-jvm,https://github.com/pact-foundation/pact-jvm,https://api.github.com/repos/pact-foundation/pact-jvm,pact-foundation,pact-jvm
br.com.basis:rancher-java-sdk,https://github.com/BasisTI/rancher-java-sdk/tree/master,https://github.com/BasisTI/rancher-java-sdk,https://api.github.com/repos/BasisTI/rancher-java-sdk,BasisTI,rancher-java-sdk
ai.meson.sdk.mediation:aps,,,,,
br.com.neppo.jlibs:java-checkstyle,https://bitbucket.org/neppo/java-checkstyle/src,,,,
ai.ost:fastjson-protobuf,https://github.com/kaelzhang/java-fastjson-protobuf,https://github.com/kaelzhang/java-fastjson-protobuf,https://api.github.com/repos/kaelzhang/java-fastjson-protobuf,kaelzhang,java-fastjson-protobuf
ai.optiscan:optiscan,https://github.com/OptiScan-ai/barcodescanner-android-framework,https://github.com/OptiScan-ai/barcodescanner-android-framework,https://api.github.com/repos/OptiScan-ai/barcodescanner-android-framework,OptiScan-ai,barcodescanner-android-framework
app.jackychu:simple.google.translate.api,https://github.com/jackychu0830/simple.google.translate.api.git,https://github.com/jackychu0830/simple.google.translate.api,https://api.github.com/repos/jackychu0830/simple.google.translate.api,jackychu0830,simple.google.translate.api
app.cash.tempest:tempest2-testing-docker,https://github.com/cashapp/tempest/,https://github.com/cashapp/tempest,https://api.github.com/repos/cashapp/tempest,cashapp,tempest
aws.sdk.kotlin:codegurusecurity-jvm,https://github.com/awslabs/aws-sdk-kotlin,https://github.com/awslabs/aws-sdk-kotlin,https://api.github.com/repos/awslabs/aws-sdk-kotlin,awslabs,aws-sdk-kotlin
be.personify:ipersonic-model,https://bitbucket.org/wouter29/?visibility=public,,,,
africa.absa:inception-api,,,,,
ai.konduit.serving:konduit-serving-kafka,,,,,
app.cash.redwood:redwood-compose-testing-macosx64,https://github.com/cashapp/redwood/,https://github.com/cashapp/redwood,https://api.github.com/repos/cashapp/redwood,cashapp,redwood
be.doeraene:scalajs-jquery_sjs1.0-RC2_2.11,https://github.com/scala-js/scala-js-jquery,https://github.com/scala-js/scala-js-jquery,https://api.github.com/repos/scala-js/scala-js-jquery,scala-js,scala-js-jquery
app.cash.sqldelight:async-extensions-watchosx64,https://github.com/cashapp/sqldelight/,https://github.com/cashapp/sqldelight,https://api.github.com/repos/cashapp/sqldelight,cashapp,sqldelight
app.cash.redwood:redwood-treehouse-host-composeui-iossimulatorarm64,https://github.com/cashapp/redwood/,https://github.com/cashapp/redwood,https://api.github.com/repos/cashapp/redwood,cashapp,redwood
br.com.caelum.stella:faces-example-2x,,,,,
ai.picovoice:falcon-android,https://github.com/picovoice/falcon/tree/main,https://github.com/picovoice/falcon,https://api.github.com/repos/picovoice/falcon,picovoice,falcon
ai.salmonbrain:ruleofthumb_3.0.0_2.12,https://github.com/Salmon-Brain/dead-salmon-brain.git,https://github.com/Salmon-Brain/dead-salmon-brain,https://api.github.com/repos/Salmon-Brain/dead-salmon-brain,Salmon-Brain,dead-salmon-brain
Memo.memo-lib:memo,,,,,
au.id.tmm.tmm-utils:tmm-utils-collection_2.12,https://github.com/tmccarthy/tmmUtils,https://github.com/tmccarthy/tmmUtils,https://api.github.com/repos/tmccarthy/tmmUtils,tmccarthy,tmmUtils
biz.enef:slogging-syslog_native0.4.0-M2_2.11,git@github.com:jokade/slogging,https://github.com/jokade/slogging,https://api.github.com/repos/jokade/slogging,jokade,slogging
apache-tomcat:tomcat-util,,,,,
be.ceau:simplemail,scm:git:git@github.com:mdewilde/simplemail.git,https://github.com/mdewilde/simplemail,https://api.github.com/repos/mdewilde/simplemail,mdewilde,simplemail
app.cash.wisp:wisp-lease-testing,https://github.com/cashapp/misk/,https://github.com/cashapp/misk,https://api.github.com/repos/cashapp/misk,cashapp,misk
biz.neumann:nice-uuid_2.11,https://github.com/daandi/nice-uuid,https://github.com/daandi/nice-uuid,https://api.github.com/repos/daandi/nice-uuid,daandi,nice-uuid
