artifact,scm_url,github_url,github_api_url,github_owner,github_repo,invalidGithubUrl,nonGithubLinkFound,scmLinkNotFound,pomNotFound,invalidArtifactFormat
ai.nextbillion:nbmap-sdk-directions-refresh-models,https://git.nextbillion.io/mobile/nb-gestures,,,,,,True,,,
br.com.anteros:anteros-synchronism-android,http://www.anteros.com.br,,,,,,True,,,
be.personify:ipersonic-model,https://bitbucket.org/wouter29/?visibility=public,,,,,,True,,,
ai.nextbillion:nb-nav-location,https://git.nextbillion.io/mobile/nb-navigation-android,,,,,,True,,,
br.com.neppo.jlibs:java-checkstyle,https://bitbucket.org/neppo/java-checkstyle/src,,,,,,True,,,
be.yildiz-games:feature-message-server,https://bitbucket.org/yildiz-engine-team/feature-message-server,,,,,,True,,,
br.com.c8tech.tools:osgi-repository-maven-plugin,${c8tech.scm.url},,,,,,True,,,
br.com.perolasoftware.framework:framework-model,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
ai.pubtech:pubconsent,https://www.pubtech.ai,,,,,,True,,,
be.mogo.generator:mogo-generator-model,https://bitbucket.org/wouter29/?visibility=public,,,,,,True,,,
ai.nextbillion:nbmap-sdk-geojson,https://git.nextbillion.io/mobile/nb-gestures,,,,,,True,,,
br.com.neppo.jlibs:utilities,https://bitbucket.org/neppo/java-utils/src,,,,,,True,,,
br.com.behaviortest:behavior-test,https://svn.apache.org/viewvc/maven,,,,,,True,,,
br.com.perolasoftware.framework:framework-persistence,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
br.com.perolasoftware.framework:framework-parent-web,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
be.rlab:tehanu,https://git.rlab.be/seykron/tehanu,,,,,,True,,,
br.com.c8tech.tools:c8tech.tools.maven.library.osgi.subsystem,${c8tech.scm.url},,,,,,True,,,
be.yildiz-games:feature-mission-client,https://bitbucket.org/yildiz-engine-team/feature-mission-client,,,,,,True,,,
at.bestsolution.eclipse:org.eclipse.fx.code.editor,http://git.eclipse.org/c/efxclipse/org.eclipse.efxclipse.git/tree/bundles/code/org.eclipse.fx.code.editor,,,,,,True,,,
be.cylab.mark:root,git@gitlab.cylab.be:cylab/mark.git,,,,,,True,,,
app.pivo:podsdk,https://gitlab.com/nAndroid/pod-sdk-android.git,,,,,,True,,,
be.yildiz-games:engine-client-addon-parser-xml,https://bitbucket.org/yildiz-engine-team/engine-client-addon-parser-xml,,,,,,True,,,
au.net.ocean:maven,http://fisheye.ocean.net.au/browse/maven,,,,,,True,,,
be.yildiz-games:module-graphic-ogre-win64,https://bitbucket.org/yildiz-engine-team/module-graphic-ogre-win64,,,,,,True,,,
ai.nextbillion:nb-maps-client,https://git.nextbillion.io/map/nb-maps-client-java.git,,,,,,True,,,
be.yildiz-games:component-native-alsa,https://bitbucket.org/yildiz-engine-team/component-native-alsa,,,,,,True,,,
br.com.perolasoftware.framework:aggregator-perola-components-annotation,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
be.yildiz-games:engine-client,https://bitbucket.org/yildiz-engine-team/engine-client,,,,,,True,,,
au.com.refactor.groovy:groovy-utils,https://bitbucket.org/refactor/groovy-utils,,,,,,True,,,
br.com.devires.framework.boot:devires-framework-boot-security,https://gitlab.com/devires-framework-boot/devires-framework-boot-security,,,,,,True,,,
