patched_release_id,full_name,cve_id,severity,cve_patched,cve_publish_date,patched_version_date,issues_new_acc,issues_closed_acc,issue_comments_acc,code_change_lines_add_acc,code_change_lines_remove_acc,code_change_lines_sum_acc,change_requests_acc,change_requests_accepted_acc,change_requests_reviews_acc,bus_factor_acc,inactive_contributors_acc,activity_acc,new_contributors_acc,attention_acc,stars_acc,technical_fork_acc,participants_acc,openrank_acc,cve
io.projectreactor.netty:reactor-netty:0.8.11.RELEASE,reactor/reactor-netty,CVE-2019-11284,HIGH,True,2019-10-23T14:14:32Z,2019-09-03,482.0,391.0,2227.0,112607.0,90153.0,22454.0,371.0,280.0,152.0,461.0,342.0,1385.6699999999996,33.0,1287.0,835.0,226.0,739.0,382.08,1
io.projectreactor.netty:reactor-netty-http:1.0.39,reactor/reactor-netty,CVE-2023-34062,HIGH,True,2023-11-15T12:30:30Z,2023-11-14,1231.0,1187.0,8785.0,349175.0,199142.0,150033.0,1700.0,1405.0,2204.0,1149.0,2693.0,4580.33,78.0,4020.0,2565.0,727.0,2235.0,1251.8700000000006,1
io.projectreactor.netty:reactor-netty-http:1.0.24,reactor/reactor-netty,CVE-2022-31684,MODERATE,True,2022-10-20T12:00:17Z,2022-10-11,1101.0,1062.0,7631.0,300297.0,178897.0,121400.0,1423.0,1166.0,2009.0,1025.0,1863.0,3953.8999999999983,65.0,3559.0,2224.0,667.0,1953.0,1064.8600000000004,1
io.projectreactor.netty:reactor-netty-core:1.0.39,reactor/reactor-netty,CVE-2023-34054,HIGH,True,2023-11-28T09:30:27Z,2023-11-14,1231.0,1187.0,8785.0,349175.0,199142.0,150033.0,1700.0,1405.0,2204.0,1149.0,2693.0,4580.33,78.0,4020.0,2565.0,727.0,2235.0,1251.8700000000006,1
com.google.cloud.tools:jib-core:0.22.0,GoogleContainerTools/jib,CVE-2022-25914,CRITICAL,True,2022-09-09T00:00:57Z,2022-08-30,1431.0,1327.0,8881.0,395457.0,194714.0,200743.0,2218.0,2022.0,8019.0,575.0,2180.0,4207.88,103.0,15381.0,12477.0,1452.0,1581.0,1151.7299999999998,1
org.scala-sbt:io_2.12:1.9.7,sbt/io,CVE-2023-46122,LOW,True,2023-10-24T01:51:04Z,2023-10-22,50.0,36.0,794.0,43985.0,18728.0,25257.0,301.0,261.0,216.0,163.0,1338.0,689.6700000000001,26.0,167.0,47.0,59.0,270.0,104.68,1
org.scala-sbt:io_3:1.9.7,sbt/io,CVE-2023-46122,LOW,True,2023-10-24T01:51:04Z,2023-10-22,50.0,36.0,794.0,43985.0,18728.0,25257.0,301.0,261.0,216.0,163.0,1338.0,689.6700000000001,26.0,167.0,47.0,59.0,270.0,104.68,1
org.scala-sbt:io_2.13:1.9.7,sbt/io,CVE-2023-46122,LOW,True,2023-10-24T01:51:04Z,2023-10-22,50.0,36.0,794.0,43985.0,18728.0,25257.0,301.0,261.0,216.0,163.0,1338.0,689.6700000000001,26.0,167.0,47.0,59.0,270.0,104.68,1
ml.combust.mleap:mleap-runtime_2.12:0.23.1,combust/mleap,CVE-2023-5245,HIGH,True,2023-11-15T15:30:21Z,2023-11-14,450.0,365.0,1966.0,199697.0,78613.0,121084.0,383.0,331.0,622.0,481.0,3091.0,1622.0200000000002,69.0,2272.0,1557.0,357.0,844.0,527.3700000000001,1
com.netflix.genie:genie-web:4.3.18,Netflix/genie,CVE-2024-4701,CRITICAL,True,2024-05-09T21:35:23Z,2024-05-09,147.0,148.0,1988.0,867445.0,443231.0,424214.0,962.0,872.0,2142.0,214.0,1705.0,1692.5400000000002,29.0,2396.0,1589.0,400.0,505.0,601.93,1
org.springframework.security:spring-security-oauth2-jose:5.0.9.RELEASE,spring-projects/spring-security,CVE-2018-15801,HIGH,True,2018-12-20T22:01:31Z,2018-10-15,1798.0,1409.0,4869.0,347990.0,177673.0,170317.0,594.0,242.0,655.0,1068.0,1233.0,3125.9700000000003,93.0,7607.0,2649.0,2479.0,1725.0,752.8299999999998,1
org.springframework.security:spring-security-core:5.0.9.RELEASE,spring-projects/spring-security,CVE-2018-15801,HIGH,True,2018-12-20T22:01:31Z,2018-10-15,1798.0,1409.0,4869.0,347990.0,177673.0,170317.0,594.0,242.0,655.0,1068.0,1233.0,3125.9700000000003,93.0,7607.0,2649.0,2479.0,1725.0,752.8299999999998,1
org.springframework.security:spring-security-core:3.2.10.RELEASE,spring-projects/spring-security,CVE-2018-1199,MODERATE,True,2018-10-17T20:01:54Z,2016-12-22,324.0,261.0,2192.0,104358.0,27644.0,76714.0,277.0,89.0,138.0,362.0,211.0,1109.9399999999998,42.0,3453.0,1019.0,1217.0,595.0,244.22,1
org.springframework.security:spring-security-core:4.1.4.RELEASE,spring-projects/spring-security,CVE-2019-3795,MODERATE,True,2019-04-16T15:10:59Z,2016-12-21,324.0,261.0,2192.0,104358.0,27644.0,76714.0,277.0,89.0,138.0,362.0,211.0,1109.9399999999998,42.0,3453.0,1019.0,1217.0,595.0,244.22,1
org.springframework.security:spring-security-core:4.1.4.RELEASE,spring-projects/spring-security,CVE-2017-4995,HIGH,True,2022-05-13T01:02:16Z,2016-12-21,324.0,261.0,2192.0,104358.0,27644.0,76714.0,277.0,89.0,138.0,362.0,211.0,1109.9399999999998,42.0,3453.0,1019.0,1217.0,595.0,244.22,1
org.springframework.security:spring-security-core:5.1.7.RELEASE,spring-projects/spring-security,CVE-2021-22119,HIGH,True,2021-07-02T18:33:34Z,2019-11-04,2904.0,2488.0,8937.0,840244.0,371880.0,468364.0,1097.0,531.0,2228.0,1433.0,2550.0,5361.07,205.0,10935.0,4011.0,3462.0,2813.0,1386.8699999999997,1
org.springframework.security:spring-security-core:5.1.7.RELEASE,spring-projects/spring-security,CVE-2020-5407,HIGH,True,2020-06-05T16:13:29Z,2019-11-04,2904.0,2488.0,8937.0,840244.0,371880.0,468364.0,1097.0,531.0,2228.0,1433.0,2550.0,5361.07,205.0,10935.0,4011.0,3462.0,2813.0,1386.8699999999997,1
org.springframework.security:spring-security-core:5.2.14.RELEASE,spring-projects/spring-security,CVE-2022-31692,CRITICAL,True,2022-11-01T12:00:37Z,2021-12-20,5317.0,4944.0,15788.0,1192806.0,473669.0,719137.0,1637.0,786.0,4075.0,2528.0,8308.0,9392.65,326.0,17268.0,6772.0,5248.0,4986.0,2570.4799999999987,1
org.springframework.security:spring-security-core:5.1.7.RELEASE,spring-projects/spring-security,CVE-2022-22976,MODERATE,True,2022-05-20T00:00:38Z,2019-11-04,2904.0,2488.0,8937.0,840244.0,371880.0,468364.0,1097.0,531.0,2228.0,1433.0,2550.0,5361.07,205.0,10935.0,4011.0,3462.0,2813.0,1386.8699999999997,1
org.springframework.security:spring-security-core:5.6.4,spring-projects/spring-security,CVE-2023-20862,MODERATE,True,2023-04-19T21:30:26Z,2022-05-16,5787.0,5427.0,16948.0,1292368.0,518853.0,773515.0,1737.0,832.0,4292.0,2744.0,9819.0,10093.059999999998,338.0,18253.0,7223.0,5515.0,5371.0,2774.3999999999987,1
org.springframework.security:spring-security-core:5.8.4,spring-projects/spring-security,CVE-2024-22234,HIGH,True,2024-02-20T09:30:30Z,2023-06-19,7380.0,6956.0,20298.0,1630928.0,590505.0,1040423.0,2101.0,1023.0,4679.0,3518.0,14059.0,12410.679999999997,399.0,20723.0,8307.0,6208.0,6654.0,3401.9799999999987,1
org.springframework.security:spring-security-core:5.8.13,spring-projects/spring-security,CVE-2024-38810,MODERATE,True,2024-08-20T06:31:36Z,2024-06-17,8394.0,7898.0,23229.0,1910008.0,659332.0,1250676.0,2880.0,1612.0,5148.0,4325.0,18719.0,14643.119999999995,484.0,22663.0,9217.0,6723.0,7941.0,3947.2899999999986,1
