full_name,github_owner,github_repo,data_class,combined_name,group_id,artifact_id,cve_id,severity,cve_patched,cve_publish_date,cve_duration,start_version,start_version_timestamp,start_version_date,end_version,end_version_timestamp,end_version_date,patched_version,patched_version_timestamp,patched_version_date,latest_version,api_id,api_aliases,scm_url,github_url,github_api_url,patched_release_id
j-easy/easy-rules,j-easy,easy-rules,2,org.jeasy:easy-rules-mvel,org.jeasy,easy-rules-mvel,CVE-2023-50571,HIGH,False,2023-12-29T15:30:37Z,27002896327,4.1.0,1607287846000,2020-12-06,4.1.0,1607287846000,2020-12-06,,,,4.1.0,GHSA-fgwc-3j6w-ch22,CVE-2023-50571,git@github.com:j-easy/easy-rules.git,https://github.com/j-easy/easy-rules,https://api.github.com/repos/j-easy/easy-rules,
sebfz1/wicket-jquery-ui,sebfz1,wicket-jquery-ui,0,com.googlecode.wicket-jquery-ui:wicket-jquery-ui-parent,com.googlecode.wicket-jquery-ui,wicket-jquery-ui-parent,CVE-2017-15719,MODERATE,True,2022-05-14T00:58:28Z,-242629252000,6.7.0,1366235027000,2013-04-17,7.9.1,1512503592000,2017-12-05,7.0.0-M3,1409860656000.0,2014-09-04,9.18.0,GHSA-pwpc-hqq2-hx2x,CVE-2017-15719,git@github.com:sebfz1/wicket-jquery-ui.git,https://github.com/sebfz1/wicket-jquery-ui,https://api.github.com/repos/sebfz1/wicket-jquery-ui,com.googlecode.wicket-jquery-ui:wicket-jquery-ui-parent:7.0.0-M3
sebfz1/wicket-jquery-ui,sebfz1,wicket-jquery-ui,0,com.googlecode.wicket-jquery-ui:wicket-jquery-ui-parent,com.googlecode.wicket-jquery-ui,wicket-jquery-ui-parent,CVE-2018-1325,MODERATE,True,2022-05-14T00:58:29Z,-242629253000,6.7.0,1366235027000,2013-04-17,6.29.0,1519370163000,2018-02-23,7.0.0-M3,1409860656000.0,2014-09-04,9.18.0,GHSA-pjv3-rh6v-2pj8,CVE-2018-1325,git@github.com:sebfz1/wicket-jquery-ui.git,https://github.com/sebfz1/wicket-jquery-ui,https://api.github.com/repos/sebfz1/wicket-jquery-ui,com.googlecode.wicket-jquery-ui:wicket-jquery-ui-parent:7.0.0-M3
reactor/reactor-netty,reactor,reactor-netty,0,io.projectreactor.netty:reactor-netty,io.projectreactor.netty,reactor-netty,CVE-2019-11284,HIGH,True,2019-10-23T14:14:32Z,-4335858000,0.8.0.RELEASE,1537424129000,2018-09-20,0.8.10.RELEASE,1564452074000,2019-07-29,0.8.11.RELEASE,1567504214000.0,2019-09-03,1.1.22,GHSA-j52r-xc68-q8f4,CVE-2019-11284,https://github.com/reactor/reactor-netty,https://github.com/reactor/reactor-netty,https://api.github.com/repos/reactor/reactor-netty,io.projectreactor.netty:reactor-netty:0.8.11.RELEASE
reactor/reactor-netty,reactor,reactor-netty,0,io.projectreactor.netty:reactor-netty-http,io.projectreactor.netty,reactor-netty-http,CVE-2023-34062,HIGH,True,2023-11-15T12:30:30Z,-88007000,1.0.0,1603739250000,2020-10-26,1.1.12,1696963259000,2023-10-10,1.0.39,1699963423000.0,2023-11-14,1.1.22,GHSA-xjhv-p3fv-x24r,CVE-2023-34062,https://github.com/reactor/reactor-netty,https://github.com/reactor/reactor-netty,https://api.github.com/repos/reactor/reactor-netty,io.projectreactor.netty:reactor-netty-http:1.0.39
reactor/reactor-netty,reactor,reactor-netty,0,io.projectreactor.netty:reactor-netty-http,io.projectreactor.netty,reactor-netty-http,CVE-2022-31684,MODERATE,True,2022-10-20T12:00:17Z,-784123000,1.0.11,1631613256000,2021-09-14,1.0.23,1663068783000,2022-09-13,1.0.24,1665483094000.0,2022-10-11,1.1.22,GHSA-7w4x-4h67-pgmv,CVE-2022-31684,https://github.com/reactor/reactor-netty,https://github.com/reactor/reactor-netty,https://api.github.com/repos/reactor/reactor-netty,io.projectreactor.netty:reactor-netty-http:1.0.24
reactor/reactor-netty,reactor,reactor-netty,0,io.projectreactor.netty:reactor-netty-core,io.projectreactor.netty,reactor-netty-core,CVE-2023-34054,HIGH,True,2023-11-28T09:30:27Z,-1200408000,1.0.0,1603739254000,2020-10-26,1.1.12,1696963257000,2023-10-10,1.0.39,1699963419000.0,2023-11-14,1.1.22,GHSA-q24v-hpg3-v3jp,CVE-2023-34054,https://github.com/reactor/reactor-netty,https://github.com/reactor/reactor-netty,https://api.github.com/repos/reactor/reactor-netty,io.projectreactor.netty:reactor-netty-core:1.0.39
GoogleContainerTools/jib,GoogleContainerTools,jib,0,com.google.cloud.tools:jib-core,com.google.cloud.tools,jib-core,CVE-2022-25914,CRITICAL,True,2022-09-09T00:00:57Z,-801682000,0.1.0,1539277908000,2018-10-11,0.21.0,1648583498000,2022-03-29,0.22.0,1661879975000.0,2022-08-30,0.27.1,GHSA-936v-cg49-m2g5,CVE-2022-25914,https://github.com/GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib,https://api.github.com/repos/GoogleContainerTools/jib,com.google.cloud.tools:jib-core:0.22.0
sbt/io,sbt,io,0,org.scala-sbt:io_2.12,org.scala-sbt,io_2.12,CVE-2023-46122,LOW,True,2023-10-24T01:51:04Z,-111294000,1.0.0,1502319957000,2017-08-09,1.9.1,1687733100000,2023-06-25,1.9.7,1698000970000.0,2023-10-22,1.10.0,GHSA-h9mw-grgx-2fhf,CVE-2023-46122,https://github.com/sbt/io,https://github.com/sbt/io,https://api.github.com/repos/sbt/io,org.scala-sbt:io_2.12:1.9.7
sbt/io,sbt,io,0,org.scala-sbt:io_3,org.scala-sbt,io_3,CVE-2023-46122,LOW,True,2023-10-24T01:51:04Z,-111223000,1.6.0-M2,1638168776000,2021-11-28,1.9.1,1687733170000,2023-06-25,1.9.7,1698001041000.0,2023-10-22,1.10.0,GHSA-h9mw-grgx-2fhf,CVE-2023-46122,https://github.com/sbt/io,https://github.com/sbt/io,https://api.github.com/repos/sbt/io,org.scala-sbt:io_3:1.9.7
