patched_release_id,full_name,cve_id,severity,cve_patched,cve_publish_date,patched_version_date,issues_new_acc,issues_closed_acc,issue_comments_acc,issue_response_time_acc,issue_resolution_duration_acc,issue_age_acc,code_change_lines_add_acc,code_change_lines_remove_acc,code_change_lines_sum_acc,change_requests_acc,change_requests_accepted_acc,change_requests_reviews_acc,change_request_response_time_acc,change_request_resolution_duration_acc,change_request_age_acc,bus_factor_acc,inactive_contributors_acc,activity_acc,new_contributors_acc,attention_acc,stars_acc,technical_fork_acc,participants_acc,openrank_acc
,j-easy/easy-rules,CVE-2023-50571,HIGH,False,2023-12-29T15:30:37Z,,347.0,281.0,1211.0,,,,28600.0,4516.0,24084.0,76.0,35.0,24.0,,,,406.0,,921.5900000000004,23.0,7582.0,5177.0,1202.0,580.0,202.99999999999983
com.googlecode.wicket-jquery-ui:wicket-jquery-ui-parent:7.0.0-M3,sebfz1/wicket-jquery-ui,CVE-2017-15719,MODERATE,True,2022-05-14T00:58:28Z,2014-09-04,,,,,,,,,,,,,,,,,,,,,,,,
com.googlecode.wicket-jquery-ui:wicket-jquery-ui-parent:7.0.0-M3,sebfz1/wicket-jquery-ui,CVE-2018-1325,MODERATE,True,2022-05-14T00:58:29Z,2014-09-04,,,,,,,,,,,,,,,,,,,,,,,,
io.projectreactor.netty:reactor-netty:0.8.11.RELEASE,reactor/reactor-netty,CVE-2019-11284,HIGH,True,2019-10-23T14:14:32Z,2019-09-03,482.0,391.0,2227.0,,,,112607.0,90153.0,22454.0,371.0,280.0,152.0,,,,461.0,342,1385.6699999999996,33.0,1287.0,835.0,226.0,739.0,382.08
io.projectreactor.netty:reactor-netty-http:1.0.39,reactor/reactor-netty,CVE-2023-34062,HIGH,True,2023-11-15T12:30:30Z,2023-11-14,1231.0,1187.0,8785.0,,,,349175.0,199142.0,150033.0,1700.0,1405.0,2204.0,,,,1149.0,2693,4580.33,78.0,4020.0,2565.0,727.0,2235.0,1251.8700000000006
io.projectreactor.netty:reactor-netty-http:1.0.24,reactor/reactor-netty,CVE-2022-31684,MODERATE,True,2022-10-20T12:00:17Z,2022-10-11,1101.0,1062.0,7631.0,,,,300297.0,178897.0,121400.0,1423.0,1166.0,2009.0,,,,1025.0,1863,3953.8999999999983,65.0,3559.0,2224.0,667.0,1953.0,1064.8600000000004
io.projectreactor.netty:reactor-netty-core:1.0.39,reactor/reactor-netty,CVE-2023-34054,HIGH,True,2023-11-28T09:30:27Z,2023-11-14,1231.0,1187.0,8785.0,,,,349175.0,199142.0,150033.0,1700.0,1405.0,2204.0,,,,1149.0,2693,4580.33,78.0,4020.0,2565.0,727.0,2235.0,1251.8700000000006
com.google.cloud.tools:jib-core:0.22.0,GoogleContainerTools/jib,CVE-2022-25914,CRITICAL,True,2022-09-09T00:00:57Z,2022-08-30,1431.0,1327.0,8881.0,,,,395457.0,194714.0,200743.0,2218.0,2022.0,8019.0,,,,575.0,2180,4207.88,103.0,15381.0,12477.0,1452.0,1581.0,1151.7299999999998
org.scala-sbt:io_2.12:1.9.7,sbt/io,CVE-2023-46122,LOW,True,2023-10-24T01:51:04Z,2023-10-22,50.0,36.0,794.0,,,,43985.0,18728.0,25257.0,301.0,261.0,216.0,,,,163.0,1338,689.6700000000001,26.0,167.0,47.0,59.0,270.0,104.68
org.scala-sbt:io_3:1.9.7,sbt/io,CVE-2023-46122,LOW,True,2023-10-24T01:51:04Z,2023-10-22,50.0,36.0,794.0,,,,43985.0,18728.0,25257.0,301.0,261.0,216.0,,,,163.0,1338,689.6700000000001,26.0,167.0,47.0,59.0,270.0,104.68
org.scala-sbt:io_2.13:1.9.7,sbt/io,CVE-2023-46122,LOW,True,2023-10-24T01:51:04Z,2023-10-22,50.0,36.0,794.0,,,,43985.0,18728.0,25257.0,301.0,261.0,216.0,,,,163.0,1338,689.6700000000001,26.0,167.0,47.0,59.0,270.0,104.68
ml.combust.mleap:mleap-runtime_2.12:0.23.1,combust/mleap,CVE-2023-5245,HIGH,True,2023-11-15T15:30:21Z,2023-11-14,450.0,365.0,1966.0,,,,199697.0,78613.0,121084.0,383.0,331.0,622.0,,,,481.0,3091,1622.0200000000002,69.0,2272.0,1557.0,357.0,844.0,527.3700000000001
com.netflix.genie:genie-web:4.3.18,Netflix/genie,CVE-2024-4701,CRITICAL,True,2024-05-09T21:35:23Z,2024-05-09,147.0,148.0,1988.0,,,,867445.0,443231.0,424214.0,962.0,872.0,2142.0,,,,214.0,1705,1692.5400000000002,29.0,2396.0,1589.0,400.0,505.0,601.93
org.springframework.security:spring-security-oauth2-jose:5.0.9.RELEASE,spring-projects/spring-security,CVE-2018-15801,HIGH,True,2018-12-20T22:01:31Z,2018-10-15,1798.0,1409.0,4869.0,,,,347990.0,177673.0,170317.0,594.0,242.0,655.0,,,,1068.0,1233,3125.9700000000003,93.0,7607.0,2649.0,2479.0,1725.0,752.8299999999998
org.springframework.security:spring-security-core:5.0.9.RELEASE,spring-projects/spring-security,CVE-2018-15801,HIGH,True,2018-12-20T22:01:31Z,2018-10-15,1798.0,1409.0,4869.0,,,,347990.0,177673.0,170317.0,594.0,242.0,655.0,,,,1068.0,1233,3125.9700000000003,93.0,7607.0,2649.0,2479.0,1725.0,752.8299999999998
org.springframework.security:spring-security-core:3.2.10.RELEASE,spring-projects/spring-security,CVE-2018-1199,MODERATE,True,2018-10-17T20:01:54Z,2016-12-22,324.0,261.0,2192.0,,,,104358.0,27644.0,76714.0,277.0,89.0,138.0,,,,362.0,211,1109.9399999999998,42.0,3453.0,1019.0,1217.0,595.0,244.22
org.springframework.security:spring-security-core:4.1.4.RELEASE,spring-projects/spring-security,CVE-2019-3795,MODERATE,True,2019-04-16T15:10:59Z,2016-12-21,324.0,261.0,2192.0,,,,104358.0,27644.0,76714.0,277.0,89.0,138.0,,,,362.0,211,1109.9399999999998,42.0,3453.0,1019.0,1217.0,595.0,244.22
org.springframework.security:spring-security-core:4.1.4.RELEASE,spring-projects/spring-security,CVE-2017-4995,HIGH,True,2022-05-13T01:02:16Z,2016-12-21,324.0,261.0,2192.0,,,,104358.0,27644.0,76714.0,277.0,89.0,138.0,,,,362.0,211,1109.9399999999998,42.0,3453.0,1019.0,1217.0,595.0,244.22
org.springframework.security:spring-security-core:5.1.7.RELEASE,spring-projects/spring-security,CVE-2021-22119,HIGH,True,2021-07-02T18:33:34Z,2019-11-04,2904.0,2488.0,8937.0,,,,840244.0,371880.0,468364.0,1097.0,531.0,2228.0,,,,1433.0,2550,5361.07,205.0,10935.0,4011.0,3462.0,2813.0,1386.8699999999997
org.springframework.security:spring-security-core:5.1.7.RELEASE,spring-projects/spring-security,CVE-2020-5407,HIGH,True,2020-06-05T16:13:29Z,2019-11-04,2904.0,2488.0,8937.0,,,,840244.0,371880.0,468364.0,1097.0,531.0,2228.0,,,,1433.0,2550,5361.07,205.0,10935.0,4011.0,3462.0,2813.0,1386.8699999999997
